Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC BETHROOM EAR A WOODEN FI
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE RE AND WHITE WHITE BO WIT FLIY BOE FI
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TAROOM WITH A SATEN SINK AND HA MIDDEOF SINK
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A MIBYFATE WITIN FURNION INFO
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A ROOM NEXT TO A BED  E SI
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA BEK PASK THE SIDE OF A BUS WITH A A PAKE
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOMAN WITH AN UMBRELLA IS WALKING DON THE RUCK
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,TWO WOMEN WALKING RIN A SIDEWALK ON A PORD
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NIX TTMUTER IL LOKING DOWN ON 
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA AND WALKIN SIDE A BOVE
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOD IN A QETROM  TITEBOD
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,BLACK AND WHITE POTER AFTITIN TIT CI CECOD
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF BOYS IN SUTS HOLDING A TA
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,TWO BON IR STATEODING I ON O OSE TANG IN ON APTRESSON ON CITE
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,TWO BES A  TE
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN ON A SNIWS FLY THROUGH THE SIPE
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A SKIER SLAYS OUT DRIDIN ON E SLOPE
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,A MAN I S SKIING ON THE GRASS IN KIN E I
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,SKATER IS LEADING OVER N OI KI
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN IS LIDING A TOGH A BO WILE BAD
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER ON A RATTED FIECE ON PLATE WITH A BACKET STTING OBAT TO PAT
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A MAN ON BAK PAING BASEBABIT JECKER ONAON PAYE IA PATE ATBEFOR
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A HITTER IS WAITING FOR THE PITCH WOM TE BALL
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER HNG BASEBAT INANG ITE 
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER HOLDING A BAT EX TO A FIE
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,TWO MEN PLAY SANINGTENDOR ITTENTE WHILE TWO OTHER GIRL
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO FRIEND ARE PLAYING WITH EACH OTHER ON THE WII
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,TWO O PEOPLIN IN A SIBO ITON OF A BALL
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOPLE STANDING IN A ROOM IN FRONORO
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,ENTIENTIE TIN FAT PLAYING WI WIL OTHERS EVENT
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A BID IS WALKING NED TO A BE DINING ROOM
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,A BIRD WALKING THROUGH IT A TRAFFIC LATN
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A GOOP WALKING INSIDE OF A AE CIDEA RIC
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A BIRD WALKING NEXT T IN FONT OF TE O
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A WHITE AND MICO IS BOKING ON A A RI
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,NED LAON TAL IN A TOG BAYING IT ITE 
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,AN OLD BAY LAYING ON A BED WITH A BED
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,A BABY BABY BOL WIT BI LAY INTO A OR
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,A DAG WITH A BOX IN A BOIT ON A PILLOW
40,A BABY DOLL LAYING ON TOP OF A BED UNDER A BOOK,A BIG DOG LAYING ON TOP OF A BED UNDER A PA
41,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUNTER,A CLOCK SITS HAS A COTON CITIN ONIT
42,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POTTED PLANT,A CLOCK THAT LOOKS LIKE COL OFIDIN ON A FOLERPANT
43,A RED APPLE WITH A CLOCK INSIDE OF IT,A BE HASA IK SUT UP IN BRIT
44,AN ALARM CLOCK THAT IS SHAPED LIKE AN APPLE,A MEL ON TOP WITH A CLATE LOOKING CIPO
45,A PLASTIC APPLE CLOCK ON A TABLE SURFACE,TA PASTI CAPIN I TO THE CABE
46,HORSES WITH JOCKEYS RACING ACROSS THE COAST OF SOME BEACH,BORO OF STOCKIG ASIN ACROSS E SOT
47,A GROUP OF PEOPLE ON HORSES RACING TOGETHER,O PEOPLE ARE ORKING HE RAINC
48,THREE PEOPLE RACE THEIR HORSES DOWN A BEACH,THWO PEOPLE WAYIN SURBAS ON THE BEACH
49,THE HORSES ARE RACING EACH OTHER ALONG THE BEACH,THE HORSES ARE RACING EACH OTHER ALONG THE BEACH
50,A BLACK AND WHITE PHOTO OF JOCKEYS RIDING THEIR HORSES,A BLACK AND WHITE PHOTO OF A BASSY RIDING E I
51,A PASSENGER TRAIN MOVING DOWN THE TRAIN ON A BRIDGE,A TRACKIC I AN MOVING OWN THE STRAIN ONRIRD
52,A LARGE LONG TRAIN ON A STEEL TRACK,A LARGE LONG TRAN NIXA FIE
53,A TRAIN THAT IS ON A RAIL OVER A BRIDGE,A TRAIN IS ON HA RAILAY TRAIN
54,A TRAIN ON TOP OF AN OVERPASS BRIDGE SET OF TRAIN TRACKS WITH FIELDS ON BOTH SIDE,TRAIN ON TOP OF A OT TRK TA TET A  ACK TOAR AA
55,TRAIN MOVING ALONG RAISED TRACKS WITH MOUNTAIN IN BACKGROUND,TRAIN MOVING ALONG WAY TRACKS TO TRUN TRACK
56,A TEDDY BEAR SITTING IN FRONT OF A PILE OF BOXES,TWO TEDDY BEAR IS SITTING IN FRONT OF A FIRBENC
57,A TEDDY BEAR NEXT TO FOUR BOXES ON THE FLOOR,A A A BI AF PIZZA A IN I TO
58,A TEDDY BEAR SITTING ON THE GROUND IN FRONT OF MANY BOXES,A BLED BEAR EATING IN A WODEN FOT IN A SOT
59,A TEDDY BEAR IS SITTING IN FRONT A GROUP OF BOXES,A TEDDY BEAR SITTING IN FRONT OF A APY FENCE
60,A BIG TEDDY BEAR SITTING NEXT TO SOME BOXES,A BIG TEDDY BEAR SITTING NEXT TO SOME BENCHES
61,A SEAGULL STANDS ON THE BEACH IN FRONT OF A WAVE,A SKEADERT STANDS ON THE BEACH IN FRONT OF A RIVER
62,A SEAGULL STANDING NEAR THE OCEAN ON THE SAND,A SO DUS IN SAIN ONA  BANCH
63,A SEAGULL STANDING ON THE SAND NEAR THE WATER,SIS CAN  IIN E WATER
64,THE BIG BIRD IS STANDING ON THE BEACH BY THE WATER,THE BI BEAL IS SINDING IN THE BA SIDE
65,A SEAGULL STANDING ON THE SAND OF A BEACH,A SEBEAR SANDING ON THE BRANCH EA
66,A BUS FULL OF HAPPY TOURISTS DRIVES DOWN THE STREET,A BUSPLR PARKING TAT ARON A TON
67,DOUBLE DECKER BUS WITH PEOPLE ON THE TOP FLOOR ON ROAD,SEVL DUSY BAS WITH PEOPLE ON THE TRACKFOR O ROAD
68,A DOUBLE DECKER BUS WITH PEOPLE WAVING FROM THE TOP,A DOUBLE DECKER BUS IS SITING DOWN A TOKER TAK
69,A DOUBLE DECKER BUS DRIVING DOWN A STREET,A BUBLE DECKER BUS DRIVING DOWN THE STREET
