Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL AT A PUBLIC DIRECTION NEAR A WOODEN STREET
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE AN WHITE IT SI TOR ABENI
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,TABLE WITH ATEN IT TANIIN E STAT
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A E ATE T TE 
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A EN NEX TO SIT I TA TITE ON
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOIDING N A BROWN BLASK TASK THE SIDE OF A BESK WITH A A 
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WITEN WITH AN UMBRELLA IS WALKING ON THE TRACK
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WIDEN TACKE DOW SID DOWN E STREET
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,FOMEN IING NEXT COMPUTERA INONIN
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDANG UMBRELLA N WALKN TO THESIDE A BOVE
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF GAINS TOABID
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A TACK AN IN BETOF ACITMENT TIE I TATE
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF RIKES AN POTE COVERED TRACF
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,TODARS ARE SON SITTING BEHIND THE FONT A SIGN IN IN TE E IN T T
