Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLICDECKRON NR WOODEN TREET
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE N WHIT ATPANESI PEOPLE ETI
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A STATEN TET IN THE MIDDLE OF TET
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A MIE ITE SITTIN INA O
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A TE ITI I I T
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA BASK PACK THESIDE OF A BUK WITH A I TAKE
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOODEN WITH AN UMBRELLA OCKTRACK
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,TWO DIFFERENT WALKER DINE THE SIDEWALK NEXT TO IT
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,OMAN WALKING NEX COMPUTER ASITING ON IN
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A IEOSEN UMBRELLA ISPOLKIN LINE ABOVE
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTED IN A PUSGRAM STEETABOV
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,ABLACK AND WHITE BAER ATTEMTING TI TI TATO
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF GINES AN STRET COVERED TAC
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,TATES REFADBADIN INON E EE SAN IN IN ATECTIONATII
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,I BAK O 
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN STEN TWI II
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,TE STENER SAKS OUT DRAVIC NEXT T
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,A RAN I TE LOIE T
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,PUTER IS LEATING ON TEO
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,TAN TRIN I TA OL BU
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A GRATEC PIZZA PA WITH A BAK OF SITTEN ATAC IT
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A MAN ONGRAS OT A BATIITSECTOR ONIA IT PATER TA BEINIT
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,APIDARS WAITING FOR THE PICTIONOFA GA
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PAT ONS ATTACK ON TETER
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BETAIL TANER HOLDING DECT E TREE
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,TWOMEN PLAYE IN E UNDER ATENSE OF TWO OTHERS O
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO FRON ARE PLAYING WITH EACH OTHER ON THE LEASH
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,TWO POT POIN AN TIE IN TONT OF A BOL
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOPLE STANDING NEIGBERON
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON, T TAT PAYING GA IND OTHERS EVENT
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A KIPED IS WALKING NED TO A DVINE
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,A BIRD WALKING TROGH  TRAFFICATON
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A BIG TRONG SKY OF A AXTIREA I
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A BIRD WALKING A BOT IN AK TID
