Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC RESTROOM EARING WOODEN TABLE
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,THE WHITE URINAL IT GREEN TIPES IN TE RED TABERE
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A PLATE OF OER AND A UMPINON BASEMALL
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RED TABLE WITH A PLANE ON IT IN THE BACT
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,ARILY MOON O  ATTACTION IIN A GRAT  A
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA WALKS PAST BESIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN WALKING DOWN A SIDEWALK NEXT TO A WOM
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TO COMETER BUS WITH UMBRELLA ON A RAINY DAY
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,A BLACK AND WHITE PHOTOGRAPH OF YELL SCHOOL MOTERS
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLACK AND WHITE PHOTO OF JANGE SITTIN FRON A FIRE FON A
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OFPEACE SERS ON E O HATTO
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,A SCHOOL BOY SYCAS WAITER IN FRONT OF A TRUCKOLOR SIN ON A VINTAGE WALK NEARA FIELIN
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,SCHOL PLATS ADINON  STA NE TO THE OHERSIDE ON  PATW
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN ON SKIS FLY THROUGH THE SKY
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A SKIER TAKES OFF DOWN THE STEEP HILL
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,ANAIC SKIIN E MID SOF AN FRONT O AN AIRPO
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,THE SKIER IS LEANING OVER WHILE JUMPING ON MID AIR
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING THROUGH THE AIR WHILE RUNIN I
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,AMANAT BACK WAITING FOR A PICTHON OTO ONINAAPLAYR ONON OCEN  UTERA
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A HITDLER IS WAITING FOR THE PITCH TO BE OFF
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS OVER THE PITCH
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER HOLDING A RAP NEXT TO A BAS
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,TWO MEN PLAY A NINTENDO WII CONSOLE WHILE THE OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO FRIENDS ARE PAITING WITH EACH OTHER UNDERNEATH
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,TWO ET ONA PLAY VIDEO GAMES WHILE OTHER FLY
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,TWO COREGE S AETWO COLLEGE GE BOS PLAYING WII WHILE OTHERS LOOK ON
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A BIRD IS WALKING RIGHT THROUGH A DINING 
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,A BIRD WALKING ANON A CAPPAGE AR ARDI
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A GOOSE WALKING INSIDE OF THE CANE TERIAD AREA
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A BIRD WATING ON A TIREFOAR AN CABESERIA
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A WHITE ITBORD LOKEN BY TAKEN ON PIC OF CHACKERS
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,A CLOSE UP OF A TALL PLANE IN A WET WITA BO
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,AN OLD DOG LAYING ON A BED WITH A BIDIN
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,ONEII COLUM AIN A COMPUTER TECHAIR ON  TA
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,A DOCK WITH A BONIT AND A BOOK ON A PILLOW
40,A BABY DOLL LAYING ON TOP OF A BED UNDER A BOOK,A BABY DOLL PLAYING ON TOP OF A BET MENTUR ABOVE
41,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUNTER,A CLOCK SHAPED LIKE AN APPLE SITTING ON A TOBLE
42,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POTTED PLANT,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A PALLET MAC
43,A RED APPLE WITH A CLOCK INSIDE OF IT,MEN AC DARK INSIDE OF AROAD
44,AN ALARM CLOCK THAT IS SHAPED LIKE AN APPLE,AM ALONG PAT THAT IS SHAPED LIKE AN AMPL
45,A PLASTIC APPLE CLOCK ON A TABLE SURFACE,A PLASTIC APPLE ON WALKWAY IN ACTABE SURFACE
46,HORSES WITH JOCKEYS RACING ACROSS THE COAST OF SOME BEACH,HORSS A DOCK RACING ACROSS TE COSTING SIN
47,A GROUP OF PEOPLE ON HORSES RACING TOGETHER, PEOPLE ON HORSES RACEDTOGETHER
