Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABO
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE URINAL  WHITE TIVAND SUIT A RYD TUBES TOGETHER
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A PLATE OF FOOD AND A LURINAL PACES
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RED TABLE WITH A PLANE ON IT IN THE BATHROOM
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A ROMOENAC ITO WITH A RACKIT TABLE WITH PLATES ANONS
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A OE LIIN
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TO A COMMUTER BUS WITH UMBRELLA ON A RAIGIENT
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,AWOMAN HOLDING AN UMBRELLA IS WALKING BESIDE A BUS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YOUNGS NER BOYS
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLACK AND WHITE PHOTO OF JECFA SITTING HOLDING REMOT
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF BRIE DRINK SIS AUDIN ON TRAFFI ON
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,SCHOOLBOY SIT CROSS LEGGED IN FRONT OF A  SIGN IN A VINTAGE WARK AND WHITE PROVITN
