Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE, OSMAX CI  AT SHIRE DOG IN A FIEL
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,TON OF OTIN CITYTO O SSOAPRO
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,WITA STYLE OPAR A SITIN ON HI RID
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A TABLE  A O RAC
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE, ACETY BEARO  CING I SABOR
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,ETING ON SMA TASIDER DECIZET ATEDGE OP OF A SALL HESIT
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A SNOW OVER EGPAR AMICER WONWERED IN A TEMAZI
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS, TO O I ON SO ON TETREET
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,ATON ST OF PEOPLE ON A PICE FIELD
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,OPETL BA A RID AT I MOEN SAGNIFIE
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,A RA PARKIT SATAN IN THE CETY RAIL
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,RS A CE OSE T A PRIK OF ON 
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD, CITY IT BUTE A DIAO T
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,CYCLISE WITH A MER AND AN PLOTOF A PANI
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,SOST OUT ITE SITON  OF CARTIN I
16,A MAN ON SKIS FLY THROUGH THE SKY,A  ONABOS  ASY PAOIS BAGGED BY THE TAN OP
