Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,TIRT COVOR APED BY SEVERALAO TARKIN AT
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,OING ON E TEIR AAI ON A BOAT
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN, A AAJUSTBALL ATU
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A APIN AEAPLA IN APIER ABOVE
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE, TRAFFIC PASN  TAN THAT ES ODESTE SINFITED ONTE TOP
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,REP ANA JOT TAA A CONTRAACTION OERAN OFITER
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,ATRALLEY ON A FOSES ON STREET
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS, STETO SUPPOSEN A TEKEN OR
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,O ON TE BUSESS OF A ATESS AND UMPELLA CONCRETE THEGA
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,AN OF OF A IRELINE ON TE OTHER SIDE O WALK
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS, DOWNA TIELD SIT OF A APA
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A CLOS OF CAK I 
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,COUPLE OF POPE A APAS ONA BUS
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,EXO BASBTOTHER SIDE OF EPENCS ARE LAT ON THE DIRT OF  BOA
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,BAG ON THE  CA  RE
16,A MAN ON SKIS FLY THROUGH THE SKY,PARKBUST ITH SKLALINE THROUG OK SE T ASA
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,TALE TAPEIN ONTROSERYY OA SE
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,AIR OFSASON SAGINER AN EACE OTHER T
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,SIS LOOKING THROUG THE IT ON  PEOPLE WORDE
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MANSONCH OTHER AAIR AN OBADEX O 
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER AT A A STAPLAYER  THE CACTURE OF ACCESSION ATTACHD ORE
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT, BASMAL CATSEVERAL TESTAA O OF IT TREE BASE
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A AIN THE DOSE OF FST 
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,FASY WIT ANBI SEVERAL PLATES OFTHING NAN A SOA
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,TAA COTER YARD IT  LOCK
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH, PLATE A ON A STAL ES TAC
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,EVERAL TWO TRAINS IN A POTA SIT ON ASO
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,ASTAONWA TOK IT A TEMPL ANTO COFO ON O
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OND UBOS NEAR A GADOF WRIT BOLS ON MON E RAL
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,ANSYC STREET AT TWO PASSETER O IT PAI CHIR 
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A GROS EWOMAN IA STREET AN POTE
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,TRET OF FOUR TENS OA GO OF BANASTE IT MOTORCYCLAN ONAR
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,POLICE PAOSO SIGN ON A TRAIR NEXT  PAPE ON
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A COUP OF BOLY TAT S   OD OF NEXT TO AGR
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,ITE   OT O IN A STREET WOTH AND PIECH OF TRAT
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,OF AIR DOWN SI IN A VE
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,SA CORSE OF TPATAEN RAP
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP, O BEE   IT A BRASS BRIHT
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,ON ARISWIT SODEP ON A ATREE
40,A BABY DOLL LAYING ON TOP OF A BED UNDER A BOOK,IT LOT OF TRATS IGN O OFTAE
41,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUNTER,KI AE ON  SHET NIX T O A CEL SITTING ON A TIDBA
42,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POTTED PLANT,OSECE OF MICE TYPOE A BE AND STIRE AT
43,A RED APPLE WITH A CLOCK INSIDE OF IT,ASSONGE PATING N TE TET N A SE
44,AN ALARM CLOCK THAT IS SHAPED LIKE AN APPLE,O YELINER  SET IN FRONT OF A AIREII
45,A PLASTIC APPLE CLOCK ON A TABLE SURFACE,ASTA APPLE O A LOT ON NYAT O SURFACE
46,HORSES WITH JOCKEYS RACING ACROSS THE COAST OF SOME BEACH,A PARSI ISING O MOTER BRACES AN  EXSITED BESID THEM
47,A GROUP OF PEOPLE ON HORSES RACING TOGETHER,PEOPLE ON HORSES RIDING SOMETONGETHER
48,THREE PEOPLE RACE THEIR HORSES DOWN A BEACH,A CITE TE TI FRONT AT O OF POPE O
49,THE HORSES ARE RACING EACH OTHER ALONG THE BEACH,ASES ARE TANED OR A CASS OF MATR SITTING ON THE HIND
50,A BLACK AND WHITE PHOTO OF JOCKEYS RIDING THEIR HORSES,A STREET OAT TEN ON ON TETRODIN 
51,A PASSENGER TRAIN MOVING DOWN THE TRAIN ON A BRIDGE,A WITERPIKE AS A DY ER AS A MARK ON ITS MOT
52,A LARGE LONG TRAIN ON A STEEL TRACK,A PAR ON A FRYSTI AR COTTE
53,A TRAIN THAT IS ON A RAIL OVER A BRIDGE,TTHAT N PILOFITI BISI
54,A TRAIN ON TOP OF AN OVERPASS BRIDGE SET OF TRAIN TRACKS WITH FIELDS ON BOTH SIDE,TAIN ACROSS FILE TOF A TAINER TASBER THAT IS A
55,TRAIN MOVING ALONG RAISED TRACKS WITH MOUNTAIN IN BACKGROUND,A TRAIN WITD A  ACE ONTE OW ON A BUILDING
56,A TEDDY BEAR SITTING IN FRONT OF A PILE OF BOXES,TUS SHR NEAEIN PUSES O
57,A TEDDY BEAR NEXT TO FOUR BOXES ON THE FLOOR,A WITH BLE VESTILES WITH ASET ON  TOP OF A PARK
