Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A GIR O S OS NEX TO E PITUREO ESETE DOG IN A FIELD
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,ESON OF ATA INIE  TO OF ES OF GROSSS TIKEBO
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A PATES A STIPE OF PAROS OFFUT PIX ON A TA
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,POPARN TABLE AN A RAYING A BUS TRAC
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,EVERAWITN A OERTIAL BEAR WITH A O O TOTIN I O
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,AIDING O  STA TASINGER DESPISED AT LEDGE P ON A SNOW ESET
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A SNAW LGIR HAKS FOR ALISERS WONDERD IN PAS TER YE
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A ACIC O ESECS ON THE STEPE OF A TREET
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A PEN O OF TENNISHEN AST  POPOW ON A TENCE FIELD
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,TIS GEVERAL BUK NARRI TO CROD AT A MOL YET SAN A BUS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,A WOMN AS A POPLE TARKED THE SIATEN INTECITIN RAIL
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A PACKET EX TO A TENN OS E KIT AN A FRIK OF BATEN  
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,AN YTAPE OF STANDING ON PRESS  A DONA
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,AN EXCYCASE WITHA MAADERS AND INE POT OF A TININ IE
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,A SA PASTRA AT OUT WIT A SIES O CHAR ON PATE
16,A MAN ON SKIS FLY THROUGH THE SKY,A CASE PATIN OTHER BOOKS IT AN OSY HATOT IS PAGGED BY THE CAK TOP
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A SADER TERNIS AA SKATE PORDER IN E TIE
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,AAOK ON SEXY EMBRA IS ON A SLOPE TOWARD A ATAL ATASTA
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,SELCFRED AND PCA BUGS OF CISE IS O TAE
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,TWO MEN FLYING A AIRA E IN A PIT A KITAT
