Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN KEYBOARD
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE URINAL AND WHITE TILED A RED TABLE WITH A BISH
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A PLATE OF FOUID AND A RUVIN ROOD FACINT
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RED TABLE WITH A PLANE ON IT IN THE BATHROOM
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A RERIYALOW NEXT TO A BRAND TABLE WITH WHITE SITTING ON THE SATBOARD
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDEWALKK
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOMAN WITH AN UMBRELLA IS WALKING TO PAST A BUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A RAN
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON A RAIN METER
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BARK
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOL BOYS
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLACK AND WHITE PHOTO OF CHILDRENS SITTING POSING FOR A PROGRES
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF BOS IN LITS HOLDING A CAK BEHIND
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,SCOLEBOY SIT CONSLOADED IN FRONT OF A CHALKWOARD SIGN ON A VINTAGE BAND WHITE PHOTO
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,SCHOOL PLASS ARN IN CORE CO STREET INTACARLINE
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN ON SKIS FLY THROUGH THE SKY
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,THE SKIER TAKES OFF DOWN THE STEEP HILL
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,THE MAN IS CUDING A MID JUMP ON TO E GRASS
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,THE SKIER IS LEANING OVER WHILE JUMPING IN THE AIR
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING THROUGH THE AIR WHILE RIDING
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A BATT EXTANSE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A MEN AT BACK THAT A FIRST ICH WITH A JUNGRAN UMPIRE BEHIND HIM AND PAYER TYPLE OF POSES BETWEEN CTY DAZON
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A HITTER IS WAITING FOR THE PITCH TO BE DONE
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH
