Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL WITH A PUBLIC RESTERN OARIN WOODEN TABE
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE URINAL E BA ON  RICY WITH A PITEN HAEION
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A STABLE SCREEN AND WINDIW WITH A BIG SIGN
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RED TABLE IS BEIN LAN ON  INTARRO
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A MULTIB JETOA WHITE ANE DOTER ARLI
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA AND WALKS PAST ON THE SIDE OF A BUS WITH A LARGE MADER AN TADE INSIDE
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A POPE WIT UMBRELLA IS WALKING PAST E BI
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A BUS IS COSSE DOWN AND HIDEWALK AN A AIRLA
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TO COMMUTOR BICYCLE UND BELLAS ON A RAIIN BAY
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA IS TALKING INSIDE A BOVE
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YOUNG STREEN AHELIS
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLACHK AND WHITE POTER OF CHILDREN STITING FULL O THREE ORNERS ON
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF BOYS IN CITS HOLDING A TAT MOFFAN ETAR
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,CHOBOES WITHCASWETED ITEM OF A TRACKBOR SITTING ON THE ENGES RECS AND WHITE TATE
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,SCRET BUS WIT EATANDING AT COTE
16,A MAN ON SKIS FLY THROUGH THE SKY,ARON SKI WIRY A TRAFFIC
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A KIER TAKES OFF DOWN THE TAINAR
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,THE RAL WITH A SAKE AN  WID BRASS ACLE  IN THE AIRPLANE
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,THE SKEAER IS LEADING OVER LEDGE OF ATUE
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING THROUGH THE AIR WHILE RIDING A
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER AND A BATTING STARCRET ON E PLATE WITH A CATCHER INO MATHINE ATTACHED A TET
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A RED ONGRAS ANE EBORD ITIT A NECTOR AND UMPIRE ASTON IT PAROFO ENCLOSURE A DOR DENT
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A PID TIN PO TE PIC TO A BLAC
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER ONS HIS HAT WAIT OOR THE PITCH
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER HOLDING A BAT O I UNDER A MIRI
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,TWO MON PLAY ANINHENDER IT ANSOL AS THE OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO PLARES ARE PLAYING WITH EACH OTHER ON THE WHEE
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,WIT ON BIR AN WHIT WINDOW AIR SWI OER GLOVE
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOPLE STANDING IN A BROM T OF AMOD
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,TEO POWER TRAINS TRVTWO POWERED IMAGE TALDISPLAYING WE WHILE OTHERS APPI
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,TA BRIST WALKING RIGHT TO A DIN A
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,A CARRIAGE WALKING STREEN WA TRAFFIC AREANEX TO A WA
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A BOSE WALKING THE SIDE OF AN EMERIA AREA
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,THE BIRD WALKING ON THE SIDE TA AN CANESEIRING AT E WACIN SI
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A WHITE AND LATBIRD IS POLKING BIND A RI BOO AIR
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,BACK CLOSE OF ONAR TO TRA IN AREG  AIRPORT
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,AN OLD WALL LAYING ON A BENCH WITH THE WOL
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,A VERY TALL PICTURE TASON GE A WIT
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,A DOG WIH A BUNLE AN A BOOK ON A COLLECT
