Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINALD IN A PUBLIC RESTAUROOM AL PARING A WAN TAR O
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE HAIRBI ER TACS IN TODDE WEARIN AI
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLES WITTE MATE AOO BASEI BATING O
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RED N TABLE WITH A PLANE ON IT ENO
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,AFFIC BASONA AN ESES OFFESIA TLA FROPIN O E LOT
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDIN UP ARELL ON AN DUKS PAST BESIDE OF A BUS IA LARGE ASTI ANAO
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A OTEN WITH AN UMBRELLA IS LARGE IN PASSIC GIS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOVEN POFKIN A PIKIN E OSON AT TOOE
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,O OMAN WALKING NEXT TO A COMMUTER BUS WITH UMBRELLA ON A RAINY DAY
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,AWAN OLDAT UMBRELLA AND WALKING BESIDE A US
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,A BLACK AND WHITE PHOTOGRAPHED OF BILTS S
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A MAGNICAE FOL O TAKE SITTIN AN A O
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A OUPEOF AHONI FI SIT ON A FOTAGE ONDU
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO, SMALL WIT SI BAST AND GAGAGE ON THE OTHER SIDE OF  A FENTONE RON  LARGE OI
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,AS A TAG ONE HED WITH A SOMPE ISTI TE OUTSIDE OA
16,A MAN ON SKIS FLY THROUGH THE SKY,AIVEOF MAN ON HIS SKIMOSE FLYING THROUGH E SGIS
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A SKIER TAKES OFF DOWN THE STREET NO
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,A MAN SILING AS I JUMP OTO IN AN EAC OTHER
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,A SKIER IS ATING FOTE WWILE JUMPING ANRUNI
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING THROUGH THE AIRWHILE RINING WIE
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A BATTER STANCE AT H PLAY WITH THE CATCHER IN POSITION TO CATCH E PINSHO
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A MAN ON BAT ON SITI WORKWIT  IN FRONTOF A OS TEPAL HYSTOPANS ONWIT AAN POSEIN TH OCEANAN TA
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A HITTER IS TAITING FROM THE PITCH TO A HOT
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS OVER THE PATESOW
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER WITH A BAT NEXT TO A PATT
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,DIFFERENT PLAG IN FRONT OF A ARSON ILE THE OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO FRIENDS ARE PAZING  EACH OTHER IN ONE ATE
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,A STATUE THE TWO ME N E PLAT VIGEALTTO WHILE OEPLI
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOPLE STANDING IN A ROOM FULL OF SOME ELOTES
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,NTWO PASSEGER IC OLIS PLAING   TE
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A BIRD IS WALKING RIGHT NEX TOA GIANT
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,VARIO FOUR TINGS ON BANASKE SITTING ON MUSTYD
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A POLICE WALKING INSIDE A CANNEC WITH A PAP
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A BIRD WADES ON ASTARP A AT TOWA ON A SNALLBA
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A WHITE PIKE WITH APOTOPITE ON A TABE AN PIECE OF TRUCK
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,CAT THOWS UP OF AN DO TLAY IN A BE
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,A COMMERCIAL STOCKED LAYING IN A BED ILLED  FIELD
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,A ERONOF  IMA NA LADY PO AIE TICHE AS ON IAN
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,A DOG ITH A MONILESN IN A BOOK ON A PILLA
40,A BABY DOLL LAYING ON TOP OF A BED UNDER A BOOK,BAGE DOLL IN A PLAY ON OKO DESS AFTER UNBAT
41,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUNTER,A CLOCK SHAPED LIKE O APPLES SITTING ON A TAB
42,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POTTED PLANT,O EX OF SNIK AN APPLE ANGRIN AND A SALE HAT
43,A RED APPLE WITH A CLOCK INSIDE OF IT,THIS ISTAT HAS TOFP INSIDE IT NE SA
44,AN ALARM CLOCK THAT IS SHAPED LIKE AN APPLE,ANA ON HAG WITH A SITE DAN E FONT OF A AA EIN
45,A PLASTIC APPLE CLOCK ON A TABLE SURFACE,A PLASTIC ATHROOM ITH LOT AN E I TODY SERFACE
46,HORSES WITH JOCKEYS RACING ACROSS THE COAST OF SOME BEACH,A HORS SNIFFING ONTA O RACES IN FRONT OF A TOASTING A SIDEWALK
47,A GROUP OF PEOPLE ON HORSES RACING TOGETHER,TWO PEOPLE ON HORSES RIDE SOME TOGETHER
48,THREE PEOPLE RACE THEIR HORSES DOWN A BEACH,A  ITIN A SEEL FO TO TE NED AN SOME PAPERSO
49,THE HORSES ARE RACING EACH OTHER ALONG THE BEACH,THE HORSES ARE FRACING EACH OTHER ABOVE THE BEACH SHAKENY
50,A BLACK AND WHITE PHOTO OF JOCKEYS RIDING THEIR HORSES,ESTRTS PARKING WATER WIT ATADICAL TAG ON TORS DISPLAY
51,A PASSENGER TRAIN MOVING DOWN THE TRAIN ON A BRIDGE,A GIIRAFFES A ICISBA ON E TE REDO ON OIS A
52,A LARGE LONG TRAIN ON A STEEL TRACK,A LARGE BUNPO TRAIN WITH IKTAROSI I
53,A TRAIN THAT IS ON A RAIL OVER A BRIDGE,A TRAIN THAT IS ON A RAIL OVER A BRIDGE
54,A TRAIN ON TOP OF AN OVERPASS BRIDGE SET OF TRAIN TRACKS WITH FIELDS ON BOTH SIDE,ATRAIN ON TOP PERSON ON THE PASTSET OF A TRAIN TRACKWITH ARIA NBOOK
55,TRAIN MOVING ALONG RAISED TRACKS WITH MOUNTAIN IN BACKGROUND,TRAIN MIVING CLOK RACE TRAVS IT  OTTANNACKA
56,A TEDDY BEAR SITTING IN FRONT OF A PILE OF BOXES,PERO  TARS AN A FILLED ANIAL IN FRONT PIOPANAM PECESSON
57,A TEDDY BEAR NEXT TO FOUR BOXES ON THE FLOOR,AIN TINA I RINX TO FOUR BOXES ON THE TOP
58,A TEDDY BEAR SITTING ON THE GROUND IN FRONT OF MANY BOXES,A TEDDY BEAR SITT A MUSARYVE ON A AT BOXI SA
59,A TEDDY BEAR IS SITTING IN FRONT A GROUP OF BOXES,TEDDY BEAR SITTING ON FONK O IN CLOTS IN TRUPIC BE
60,A BIG TEDDY BEAR SITTING NEXT TO SOME BOXES,PAT ITIN TOA HIL SITTIN NEXT TO SOME BOXES 
61,A SEAGULL STANDS ON THE BEACH IN FRONT OF A WAVE,A FLORSH OF PIZZA Z STAND ON A ALL ATRA WITH A TRA
62,A SEAGULL STANDING NEAR THE OCEAN ON THE SAND,A SEAGULLS ON THE BOUNTI AFTERIN THE SANF
63,A SEAGULL STANDING ON THE SAND NEAR THE WATER,A SEAFRI ANDING LON SANDWITH AIRWATER
64,THE BIG BIRD IS STANDING ON THE BEACH BY THE WATER,THE NECK BAK IS STANDIN T O EI
65,A SEAGULL STANDING ON THE SAND OF A BEACH,A ZEAGULL STANDING ON THE SAND OF HE TRI BEACH
