Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE URINAL WHITE TILE A ON A TABLE WITH A BOCCIE
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A PLATE OF FOOID AND A WOODEN WITH FISTE
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A NITEREA TABLE WITH A PLANE ON IT IN THE BATHROOM
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A RI ELENET TO A VEGETABLE WITH DISPLAYED SITTING ON THE TABLE
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOMAN WITH AN UMBRELLA IS WALKING DOWN TE RUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN WALKING DOWN THE SIDEWALKNEXT TO A BUS
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON A RAINY DAY
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA AND WALKING BNSIDE A BUS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOL BOYS
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLACK AND WHITE PHOTO OF CHILDREN SWITDING HOLD ANG PAN TOBE
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF BOYS IN FRUITS HOLDING A ASPHALK
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,SCHOOLBOYS SIT CROSSLOADED IN FRONT OF A CHALCLAT SUN AND VINTAGE BLACK AND WHITE PHOTO
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,SPOR GLASS BULL AN ORI FODUXS IN OTHERSISE BOL
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN ON SKIS FLY THROUGH THE SKY
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,THE SKIER TAKES OFF DOWN THE STEEP HILL
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,A MAN IS DOING E MID JUNP ON TIY A RANP
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,THE SKIER IS LEANING FOVER WHILE JUMPING THROUGH THE AIR
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING THROUGH THE AIR WHILE RIDING
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH A CATCHER IN POSITION TO CATCH A PITCH
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A MAN ON BACK  OTE FIR PITCH WITH A CASTER AND UMPIRE BEHIND HIM AND A PLAYER CAN BE A POSEE BETWEEN TWO DOAT
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A HITTER IS WAITING FOR THE PITCH TO BE GLOW
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,TWO MEN PLAY A NINTENDO WII CONSOLE WHILE THE OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO FRIENDS ARE PLAYING WITH EACH OTHER ON THE WII
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,THAT TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,TWO COLLEGE IAGE BOYS PLAYING WII WHILE OTHERS LOOK ON
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,A BIRD WALKING THROUGH AN AFPECATE NEXT TO A FANTE
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A HOSE WALKING INSIDE OF A CAFETERIA AREA
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A BIRD WALKING ON A TILED FLOOR IN A CAFIC EREA
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A WHITE AND WHITE BIRD IS WALKING BY A TABLE AND SOME CHAIRS
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,A CLOSE UP OF A TALL LAYING IN A BED WITH A BOOK
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,AN OLD DOLL LAYING ON A BED WITH A BOOK
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,A HUNCH OF BAB DOLL IS A BOOK COMPEEFICILIS ON A GLASS
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,A DOG WITH A BONE AND A BOOK ON A PILLOW
40,A BABY DOLL LAYING ON TOP OF A BED UNDER A BOOK,A BEIGE DOL LAYING ON TOP OF A BED UNDER A BOG
41,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUNTER,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUTER
42,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POTTED PLANT,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A PALACE LANTOM
43,A RED APPLE WITH A CLOCK INSIDE OF IT,A RED APIMAL WITH CLARK INSIDE OF 
44,AN ALARM CLOCK THAT IS SHAPED LIKE AN APPLE,AN ALARM CLOCK TO THE SHAPE OF AN ATLEY
45,A PLASTIC APPLE CLOCK ON A TABLE SURFACE,A PLASTIC APPLE CLOCK ON TABLE SURFACE
46,HORSES WITH JOCKEYS RACING ACROSS THE COAST OF SOME BEACH,ABIRK LIKE JOCKING A FRISBEE ACROSS THE COAT IN FRONT OF IT
47,A GROUP OF PEOPLE ON HORSES RACING TOGETHER,A GROUP OF PEOPLE ON HORSES RACING TOGETHER
48,THREE PEOPLE RACE THEIR HORSES DOWN A BEACH,THREE PEOPLE IN BASSURFES ON THE BEACH
49,THE HORSES ARE RACING EACH OTHER ALONG THE BEACH,THE HORSES ARE RACING EACH OTHER ALONG THE BEACH
50,A BLACK AND WHITE PHOTO OF JOCKEYS RIDING THEIR HORSES,A BLACK AND WHITE PHOTO OF JALKINS RIDING ON BOARD
51,A PASSENGER TRAIN MOVING DOWN THE TRAIN ON A BRIDGE,A PASSIN A TRAIN MOVING DOWN THE TRAIN ON A BRIDGE
52,A LARGE LONG TRAIN ON A STEEL TRACK,A LARGE LONG TRAIN ON A FIEL TRACK
53,A TRAIN THAT IS ON A RAIL OVER A BRIDGE,A TRAIN THAT IS ON A RAIL OVER A BRIDGE
54,A TRAIN ON TOP OF AN OVERPASS BRIDGE SET OF TRAIN TRACKS WITH FIELDS ON BOTH SIDE,A TRAIN ON TOP OF AN OVERCAST BRIDGE SET OF TRAIN TRACKS WITH FIELD ON BOT A
55,TRAIN MOVING ALONG RAISED TRACKS WITH MOUNTAIN IN BACKGROUND,TRAIN MOVING ALONG VAYOF TRACKS WITH MOUNTAIN IN BACKGROUND
56,A TEDDY BEAR SITTING IN FRONT OF A PILE OF BOXES,CU TEDDY BEAR ITITON ON TRUCK OF A PILE OF CROCCLI
57,A TEDDY BEAR NEXT TO FOUR BOXES ON THE FLOOR,A TEDDY BEAR NEXT TO FOUR BOXES ON THE FLOOR
58,A TEDDY BEAR SITTING ON THE GROUND IN FRONT OF MANY BOXES,A TEDDY BEAR SITTING ON THE GROUND IN FRONT OF A FENCE WALKIN
59,A TEDDY BEAR IS SITTING IN FRONT A GROUP OF BOXES,A TEDDY BEAR SITTING IN FRONT OF A GROUP OF BOXES
60,A BIG TEDDY BEAR SITTING NEXT TO SOME BOXES,A BIG TEDDY BEAR SITTING NEXT TO SOME BOXES
61,A SEAGULL STANDS ON THE BEACH IN FRONT OF A WAVE,A SEAGUAT STANDS ON THE BEACH IN FRONT OF A WAVE
62,A SEAGULL STANDING NEAR THE OCEAN ON THE SAND,A ZEBRA STANDING BITAN UMBRELLA IT ON TE SAND
63,A SEAGULL STANDING ON THE SAND NEAR THE WATER,A SEAGULL  STANDING ON THE SAND NEAR THE WATER
64,THE BIG BIRD IS STANDING ON THE BEACH BY THE WATER,THE BIG BARI IS TANDING ON THE BRIDGE BY THE
65,A SEAGULL STANDING ON THE SAND OF A BEACH,A SEAGURL STANDING ON THE SAND OF A BEACH
66,A BUS FULL OF HAPPY TOURISTS DRIVES DOWN THE STREET,A BUS FULL OF CRAFIC DELIN CARADIS DOWN OTE SRET
67,DOUBLE DECKER BUS WITH PEOPLE ON THE TOP FLOOR ON ROAD,DOUBLE DECKER BUS OT PEOPLE ON THE TOP AR ONAD
68,A DOUBLE DECKER BUS WITH PEOPLE WAVING FROM THE TOP,A DOUBLE DESKE ABOUT TI PAPLE WAITING FOR BI TROCK
69,A DOUBLE DECKER BUS DRIVING DOWN A STREET,A DOUBLE DECKER BUS DRIVING DOWN A STREET
70,RED DOUBLE DECKER BUS WITH PEOPLE STANDING ON TOP,RED DOUBLE DECKER BUS WITH PEOPLE STANDING ON TOP
71,A MAN LEANING HIS MOUTH DOWN TO A PLATE THAT HAS A SANDWICH ON IT AND A BLUE WATER BOTTLE BEHIND IT,A MAN LEAVING HIS MOKE DOWN A SUTPLACE TAMESOTIC A BLUE WATER BOTTLE
72,A MAN TAKING A BITE OF A SANDWICH WITHOUT USING HIS HANDS,A MAN TAKING A BITE OF A SANDWICH WITHOUT USIN HIS HAND
73,A MAN EATING A SANDWICH OFF OF A WHITE PLATE,A MAN EATING A SANDWICH OFF OF A WHITE PLATE
74,A SMILING GUY STICKING HIS FACE NEAR A BIG SANDWICH,A SMILING GUY STEICKING HIS FACE NEAR A BIG SANDWICH
75,WITHOUT USING HANDS A MAN TRIES TO BITE A PAIR OF SANDWICHES,WITHOUT USING HANDS A MAN TRIES TO BITE BARROF SANDWICHES
76,A HUSKY STANDS BY AS A SKIER STANDS THERE,A DUSKY STANDS BY A SKIER STAN IR
77,A PERSON ON SOME SKIS AND A DOG IN THE SNOW,A PERSON ON SOME SKIS AND A DOG IN THE SNOW
78,A MAN ON SKIS WITH A DOG NEXT TO HIM,A MAN ON SKIS WITH A DOG NEXT TO HIM
79,A MAN ON SNOW SKIS WITH HIS DOG,A MAN IN THE SNOW SKIING TOM A PAL
80,A PERSON RIDING SKIS ON TOP OF A SNOW COVERED SLOPE NEAR A DOG,A PERSON RIDING SKIS ON TOP OF A SNOW COVERED SLOPE NEAR A DAR
81,A GIRAFFE REACHING UP TO SOME TREE BRANCHES,A GIRAFFE FEACHING UP TO SOE TREE OM A COS
82,A GIRAFFE STANDING UNDER A LEAF FILLED TREE,A GIRAFFE STANDING UNDER A LEAF GROING SETE
83,THE GIRAFFE EXTENDS UPWARD WHILE EATING FROM THE BRANCHES OF A TREE,THE GIRAFFE EXTENDS A ORAGE WHILE EATING FROM THE BRANCHES OF A TREE
84,A GIRAFFE THAT IS STANDING IN THE GRASS,A GIRAFFE THAT IS STANDING IN THE GRASS
85,A TALL GIRAFFE STRETCHES TO REACH HIGH LEAVES ON A TREE,A TALL GIRAFFE STRETCHED TO REACH HIGH LEANS ON THE TREE
86,THE PALACE OF WESTMINSTER FEATURING ELIZABETH TOWER THAT HOLDS BIG BEN,THE PALACE OF MUXTICAN TER FECURYING ILISIDOUS TOWER AN OLDS BIG BAN
87,A BRIDGE NEXT TO A TALL BUILDING AND THE BIG BEN TOWER,A BRIDGE NEXT TO A TALL BUILDING AN A BIG BIN OWER
88,A CASTLE IS SHOWN ON THE WATER NEXT TO A BRIDGE,A CASTLE IS SHOWN ON THE WATER NEXT TO A BRIDGE
89,AN OLD CLOCK TOWER STANDS NEAR A BRIDGE AND OTHER LARGE OLD MEDIEVAL TYPE STRUCTURES,AN OLD CLOCK TOWER STANDS NEAR A FRIDGE AND OTHER LARGE OLD MEDEBA TIE STRUCTURE
90,THE BIG BEN CLOCK TOWER TOWERING OVER THE CITY OF LONDON,A BIG BEN CLOCK TOWER TOWERING OVER THE CITY OF LONDON
91,MAN RELAXING NEAR A TRAIL CLOSED SIGN ON THE GROUND,MAN RELAXIS NARE TRAIL COTE SIGN ON THE GROUND
92,A MAN SITTING ON A WALL NEXT TO WATER NEXT TO A BARRIER,A MAN SITTING ON A WALL NEXT TO THE WATER NEXT TO A BEER
