Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TA
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE URINAL ITH BLAY TAPE IS RED TABLE IIT
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A PLATE AHOD AND A URINILE BISI
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RED TABLE WITH A PLANE ON IT IN THE BACKH
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A PERSON WOSON AS O OF E BAC HOLPING O PLAS AN TE TEI
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING A UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN TALKING DOWN A SIDEWALK NEXT TO A PURK
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY, WOMAN WALKING NEXT TO A COMMUTER BUS WITH UMBRELLA ON A RAINY DAY
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA AND WALKING INSIDE A BUS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOL BOYS
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A PARK AND WHITE PHOTO OF CHILKEN SITTING POINTING FITE
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A PAIR OF POLITRIN SITS ON THE POTAN TRAF BUS
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,SCOOL BIKSITS ACROSS LEGGED IN FRONT OF A TRUCK O SIGN IN FRONT ANG BLACK LURRY QUILIN
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,A SQUARE PLATS EGROTING A OICIBLE NEXT TO AN INSICTE ON A MOT
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN ON HIS SKIS FLYI THROUGH THE SKIES
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A SKIER TAKES OFF DOWN THE SEAU
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,A MAN IS SKITING A MID JUMP ON TWO AND EACH OTHER
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING THROUGH THE AIR WHILE RIDING
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A BATTEXTANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A MAN AT BACK SETTING FOR A CRISI PACTOR OUTSIDEO HOSTITALPAYER EMPOSING 
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A HITTER IS WAITING FOR THE PITCH TO BE BAUGHT
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS OVER THE PECISUV
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER HOLDING A BAT NEXT TO A FASE
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,TWO MEN PLAY A NINTENDO WII CONSOLE WHILE THE OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO FRIENDS ARE PLAYING WITH EACH OTHER UNDERLEATH
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,TO THE TUMA ARE PLAYING VIDEO GAMES WHILE OTHERS LIGE
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOPLE STANDING IN A ROOM FULL SOME REMOTES
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,TWO CAVERATWO COLLEGE GE ONS PLAYING MEA WHILE OTHERS LOOK ON
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A BIRD IS WALKING RIGHT THROUGH A DINING MOM
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,A BIRY WALKING THO A CAFETATIN ON TE STATI
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A GOOSE WALKING INSIDE OF A CAMRATERIA AREA
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A BIRD WALKINS ON A TILE FLOOR IN A CABETERIA 
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A WHITE AND BLACTBIRD IS WOPEN BY A TABLE AND IENT OF CHEFF
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,A CLOSE UP OF A DOLL LAN IN A BETA BOOK
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,AN OLD DOG LAYING ON A BED WITH A BIRKFIELD
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,LOOKIN INTO INTI VOLLEY WITH A BOOK PUTEN SH X ON ITS LAP
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,A DOG WITH A BONNET AND A BOOK ON A PILLOW
40,A BABY DOLL LAYING ON TOP OF A BED UNDER A BOOK,A BABY DOLG LAYING ON TOP OF A BED AFTER A BOG
41,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUNTER,A CLOCK SHAPED LIKE AN APPLE SITTING ON A CENC
42,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POTTED PLANT,A CLOCK THAT LOOKS NIKE AN APPLE A HANGRIN AND A CARRET TRACK
43,A RED APPLE WITH A CLOCK INSIDE OF IT,A BED HAS TUCK INSIDE IT IN E FO
44,AN ALARM CLOCK THAT IS SHAPED LIKE AN APPLE,AN ALORNG PART WIT IS SHAPED LIKE AN AIRPORT
45,A PLASTIC APPLE CLOCK ON A TABLE SURFACE,A PLASTIC APPLE ITH LOCC ON A AN  IT TABLE SURFACE
46,HORSES WITH JOCKEYS RACING ACROSS THE COAST OF SOME BEACH,AHORSES MAKE E JUMPAS RACING OCROSSTE COSE EX SITA
47,A GROUP OF PEOPLE ON HORSES RACING TOGETHER,THE BLUMPY BLACK HORSES RACUN TOGETHER
48,THREE PEOPLE RACE THEIR HORSES DOWN A BEACH,TREET CONSTALSHOWS TO THEIR VEGETATS ON THE PAKER SOCTON
49,THE HORSES ARE RACING EACH OTHER ALONG THE BEACH,THE HORSES ARE FACING EACH OTHER ABOVE THE BEACH
50,A BLACK AND WHITE PHOTO OF JOCKEYS RIDING THEIR HORSES,BLACK AND WHITE PHOTO OF JOSKIS RIDING ON HORSES
