Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN KEYBOARD
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE MORINAL AND RED LOWER AON TABEN WITH A ITA
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A PATE OF FOK AND A LIVING RON FAKIN EX TOE
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RED LABELED WITH A PLANE ON IN THE BATRM
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A LIVING ROOM  IN A BENT TA WITH NOS SITING ON THE TABLE
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BESOFA LARGE ATE ASON ONE SOD
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOMAN WITH AN UMBRELLA IS WALK TO PAT A BAK
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN WALKING ADOWN THE SIDEWALK NEXT TO A PON
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEAR TWO PANTES ART ITH AN UMBRELLA ON A RAINWAY
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELL A A WALKN WITH A HIER BOT
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF ROD CLEAR DANUTS
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLACK AND WHITE PHOTO OF CHILDREN SITTING HOLDING FORA PITURE
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF RITES AN A HOD HOLDING A COSO
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,ABES SIT CAR TETED IN FRONT OF A CHOKLAGHT SIGN AND EMPTY SQUACTIN ANPITER
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,A COK OUT IT A SOTO POT A TE ATA AN
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN ON SKIS FLY THROUGH THE SKOW
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A KIER CAK COUS ROWN A TI TL
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,TE MAN IS NCUDING A WOOD BLUSE IN TE E A
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,THE COCIGERATE WITH MEATING POTOAN A PERSON IN E O
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING IITH AN ARAWOLE RIDE INA O AO
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER AT A WITE AN AJETA PLATE WITH A BACTERE HI EFENT TO HAVE THE HOAC
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A RANOUT DY IT APURTCATE WITH A SUNBILD OMPIRE  COUNTER AND TOILETS O LOPOSE E AN E BARGROUNDO
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A PIBAIS POSING FOR A PICH TO HER UF
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER HOLDS HIS BAT NEXT TO THE BITCHBALL
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER HITTING THE BAT NEXT TO A BAM
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,TWO MEN PLAY GAM INTEMDOS A CONSOLE WHILE THE OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO REDS ARE PLOWING WITH EACH OTHER ON THE ROOF
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,TWO QUIFEN BIDS ARE PARKED INTE ACH ON A BOGI WAT
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOPLE TANDING MATE O MEMOK
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,TER TWO PIER IN SHORLES PLAYING WII WHILE OTHERS LOOK ON
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A BIRD IS WALKING AWAY THROUGH A BARNING N
