Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL WITH A PUBLIC RESTROOM ANPARA WOODEN TABE
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE URINAL IT WHITE BABINET AND A WHITEROOM WITH A BIT AND TAVE INEON
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A STABLESS SINK AND LAIN IT WITH A BIG IN
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE ROOM TABLE IS BEI LAYING ON IN A RETROOM
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A IN A MULTI VIEF BEDROOM ANAN WHITE IN AND BATROOM ANWIT
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA AND WALKS PAST ON THE SIDE OF A BUS WITH A LARGE MADER AT STADIN INSIDET
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A PERSON WITH AN UMBRELLA IS WALKING PAST A BUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN POSSES ROWN A SIDEWALK HAN A AIRA
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TO COMMUTER BUSES OUMBRELLAS ON A RAINDER
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA WHILE IS TALKING INSIDE ER BOSE
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YOUNGSITIIN HES
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BIGHTLAND WHITE HOOO OF CHILDREN READING COOL A TRE AWOMEN AND AA
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A BOUP OF BOYS IN HOOD HOLDING A TIE MOKING AT I TAN
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,SCHOOL BOWS WITH COSWATED ON ONT OF A THACKBOR STANDING ON THE BENCHES DRESSED IN BIT TATER
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,PLOT BUS AN  SITING TATLE STANDINI AT CORNER
16,A MAN ON SKIS FLY THROUGH THE SKY,AMAN MON SKING IT FLIE THROUGH THE TRAFT
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,KIAIR TAKES OFF DOWN THE HILO HILL
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,A RAIL WITH A SNUCKIN ON E WOOD AIL ARFER RIDING A AIRANE
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,A SKIER IS LEANING OVER WINE JUMPINTE
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING THROUGH THE AIR WHILE RIDING AR
