Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL WITH A PUBLIC RESTROOM ANPAR WOODEN TABE
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE URINAL WIY CABINET ON A A DISET WITH A CIK AN HAPI INEON
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A TABLE FOOT AND RANATED WITH A PIZZA
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITLEWERE TABLEII LAN ONN IN H BATROM
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,AN ARTON WIT A MOTIPUE VENDIAN A RIT AN E DATE A
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA AND WALKS PAST ON THE SIDE OF ER VISE WITH A LARGE AGERT EX TAE INSIDEER
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A PORPE PIREN UMBRELLAS WALKING PAST E BUCK
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A BUNCH OF HASSES ROLL AN SIDEWALK NEAR AE VEHIT
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TO TOPORVERSYC AN UMBRELLA ON A RAINY DAY
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELL WI IS WALKING BESIDE HER CLOVE
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YOUNG SWEER HOTS
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLACK AND WHITE PHOTO OF CHILDREN WITING POLERY ELEMEN
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A BEAUTIFUL BOYS IN FOODS HOLDING ACAT WALKING A TA
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,SCHOOL BOATS WITH ISBOADED ONON WIT A TRACKWAR SATING ON THE ENG OF RASTE O TABLE
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,COR BASONTE OI TAE ATING AT SITE
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN ON SICAN FLI THROUGH A TRAFFIC 
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A SKIER A HOS DOWN A HILON HILLN SNOW
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,A MAN SINSPECTIN IN A WOOD GRASS WALKING  AIAR
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,A SKIER IS LEANING OVER A LODGE OF ATUE AIR
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING THROUGH GAPAIR WHILE RIDING ON  H KATEBOARD
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER AN A BATTING PREHAME CREST ON A PLATE WITH TA CATCHER INTOE TE SHANE ATTACH A PAT
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A RED ON GRASS ANDERA BIRD WIT WITH A NACTROF UMPIRE AND ATTEN  IN PIORULY ENCLOSURE INA IN DOORGA
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A KITTER IS MAKING FOR THE TICH TO A CA
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER HUNS HIS BAT AND WAITS ANOTHE PITCH
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER HOLDING A BATO TI UNDER A HITE A
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,TWO MEN PLAY I NINTENDER WII CONSOLE WHILE THE OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO PEARS ARE PLAYING WITH EACH OTHER ON THE WII NE A
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,TWO WITER BO AN PLAYING VIDEO NEAM T WHILE OTHER GLIVE
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOPLE STANDING IN A ROOM I OP OF A IS
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,TRAGE POER TRAINS A TWO COWTEGE IMAGE WIL DISPLAYING FOOD WHILE OTHERS LOOK ON E
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A BIRSE IS WALKING NEXT TO A TREDINE TA
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,A ARRG WALKING N TREE WITH A TRAFFIC RIASIN NEXT TO A LIT
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A HOSE WALKING INSIDE OF AN EMMETARIA AREA
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,TE BIRD WALKING ON TIDE ATRIN CANEZEERING AT A ROCKOF COWE
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A WHITE AND BLACK BIRD FALKING N AVE O OFCHAIR
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,GAST FLOOR HASA TALL CAT NOWIN  TEDTY EAT AND BIK  IT AN AIRPORE
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,AN OLD DOL LAYING ON A BENCH WITH A BOK
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,A GROUP OF BASY BAL I FAT  FOD IN TOFOT ONFOR
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,A DOG WITH A BANE N TAN AR LOOK ON A COLLAT
40,A BABY DOLL LAYING ON TOP OF A BED UNDER A BOOK,A BASEDOLL I PLAYING ON TOP OF A HEAD UNDER A TELEVISIOON
41,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUNTER,A CLOCK SHAPED LIKE AN APPLE SITTING ENA
42,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POTTED PLANT,A CLOCK THAT LOOKS LIKE A APTLE OF ENGUINS AND A POLIT LASTOM
43,A RED APPLE WITH A CLOCK INSIDE OF IT,TI ISA BED HASI AA BATROOMIDO CICE INA IE
44,AN ALARM CLOCK THAT IS SHAPED LIKE AN APPLE,AN ALARNG COCK WITH A SLEP LESTING A BI
45,A PLASTIC APPLE CLOCK ON A TABLE SURFACE,THE PLASTIC ATLEM AR DOR TABLE SURFACE
46,HORSES WITH JOCKEYS RACING ACROSS THE COAST OF SOME BEACH,BREAKFAST WITH DUFCI AN BRESA IN FOT OF A COTEE COT
47,A GROUP OF PEOPLE ON HORSES RACING TOGETHER,A GOUPLE OF HORSES RACIIN A FAR
48,THREE PEOPLE RACE THEIR HORSES DOWN A BEACH,THRE PEOPLE READY TO THE HORSE PAYING TICA
49,THE HORSES ARE RACING EACH OTHER ALONG THE BEACH,THE HORSES ARE RACING EACH OTHER ABOUT THE BEACH
50,A BLACK AND WHITE PHOTO OF JOCKEYS RIDING THEIR HORSES,A BLACK AND WHITE BORDER IT A TECTIN A GRIVETY Y IN POS  ECE
51,A PASSENGER TRAIN MOVING DOWN THE TRAIN ON A BRIDGE,A TET CATIT I TIN MAVING DOWN THE SANDI ON CURB
52,A LARGE LONG TRAIN ON A STEEL TRACK,A LARGE BALMY UNITEN IIEL TRATREE
53,A TRAIN THAT IS ON A RAIL OVER A BRIDGE,A PICTI THAT IS ON A RAIL OF RINE RANCH
54,A TRAIN ON TOP OF AN OVERPASS BRIDGE SET OF TRAIN TRACKS WITH FIELDS ON BOTH SIDE,TRAIN ON PRAP OFIT WALKNG PAS ANI OS A TRAIN STEPS IN THEOPN ONCOTU
