Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC RESTROOM NEAR A WOOTEN KEYBOARD
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE MURINAL AN I TIE A BENCIDE IN TA DITIEN
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A CLATE ON TOM AND MAO A INCASE WITH A COFE
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A NIDDLE RED TABLE WITH A A LAYE ON IT IN THE BATHROOM
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A ITTING OM NET TO A BENC FILL WIT  LIT SITING ON E TABLE
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF AR BASE OF A LARGE ASKET AS SONON OTHE SIDEWALK
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WIMAN WITING UMBRELLACER WALK TO PACK OFA BO
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A HON
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TTWO COMMETER BUS WITH AN UMBRELLA ON A RAINY AIR
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HODING AN ARAL RINAN WALKING ITH A HINDER PARK
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCOOL FENS
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A FANTI WITE PHOTO OF CHILDREN SITTING IN OLD TRANIN ITI I
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF WODE INA WOOD HOLDING A CASTAL 
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,FOURBUKS WARE CORSELATED IN FRONT OF A CHOCOLATE SIGN AND ENGINE WACK I ACEE
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA, SCHOOL BAKE ALEI TATES MOTI TI ONTRACTR
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN ON SKIS FLIE THRIUG THE SKY
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A SKIER TAKES OFF DOWN A E FIELD
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP, VAN ATTEMPORATIN ANWIT FLASE AI AT
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,THE SKEAER IS LEANING PHOTO HLE TORN IN TI ARO
