Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC WESTERN NEAR A WOODEN KEYBOARD
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE URINAL AND A TILE ABANCE IEPOSITION
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A PLATE OF SOT AND A DEVISION FACEN
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RED TABLE WITH A PLANE ON IT INTEBACKO
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A GRENMAT NEXT TO A BENCH OIT AN  ONICYBLE
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BESK WITH A LARGE AGNIC ION ON ESIDE
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,COPO PINP ITH AN UMBRALL AS A CLOCK TAK TRUK
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A REDI TRAFFER DOLN THE SIDEWALK NEXT TO A CA
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TWO COMMUTER BUS WITH UMBRELLA ON A RAINDA
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN AMBRAILINE WALKING BEHINDA BAS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF DOK STOOL FENCE
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A PLASTIC WEDPETE OF CHILDREN SITTING OLDIN TANSIES
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF LIGES IN A WOD HOLDEN A PAPFORM
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,SNHOW BUS WITH TOLSLITED IN FRONT OF A CHACOLATE SIGN AND INTANGE WALKING UP TO IT
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,SCHOOL TAP ARIT A TITES ONE STREEN NTERSECTION
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN ON SKIS FIDERINTE SKY
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,THE SKIER TAKES OFF DOWN A SETHIR
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,MAN IS INDIN TEET LIGHT IN THE NET
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,THE SKIER IS READING FORMIL WHILE JOMINIA
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING WITH AN ARBOLT RIDING
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A BATTIN SAN TAT NET PLAT WITH ATTATCHER IN TISTE AS THE POCH
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,AN ANAL BACK AT A ERTIS ITSUMBLE ONHARE PAT CYPLE IS POSES IN ETY BARGROUND
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A PIBLE IS WAITING FOR THE TAGE TO BE BOUGT
