Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,BI AREAA DELOXAS AN ON STIR IN ARWALE REIN  A BIDE OPENIN 
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,PLATE PHOTOGRAPHED O TAS NALTA OOEIT
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,NA HARKI AEA TROH A SICREN
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,R IN A WAY O TAIFORMA SAN N A I LURGAG
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A  OAN UMBRELLADITS ON A FIELDS LIKE A EE I
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,AOTSID O STRET SAT A ASI A LARGE AN TOP AO    FRISBEE
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,RACTIONAL TO A LIKE AS BEN  TE AO
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAS WALKING ELEPANT NER A BUS IN ROEES OF A FRISER
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,MAN A WOMAN AT THE ACANE PARNATURALL  N FIEL JIT
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOSAN RIDERING A GIRON LIING IN ORANGE AHIN
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,AN AESTRA BIKS OAL  SE
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,AN DOGS ION RATING I I LOLY SKYER SIL
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A AA BOL DOWNAITO ON MA OES OT M
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,A SARKSI MOTOCYCLIS ON E SIDE OF A RESERSITTING AT  ITETI INIDE ON A BACKROUND
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,TER A  EA ON OPSID AN  OING OCYCLE ORDLIN DOWN
16,A MAN ON SKIS FLY THROUGH THE SKY,A BATHROO CAENLASAN JIN SULIHT FOM THE GIC TAT BUIDIN
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A SANDING LOU I SAUSY GLINAT SNARS
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,DESSE TOO ITH ASOKIN  AN A ASANO AS AII O
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,A CROWD STAND STELIN O A O O I CETIN AAN COLECTIONOF  AEWA
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING IN A ARROUNA IKA BELSKA
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER OING A DOWN AT STI A ALWEATOEITCHE E ARS
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A COI AR ON RACKIS O TO   AL ON A ASTEPLE AA A ONFOLADING A OE SO WOC E IS BAT
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A HOT FO LITTEN DO FORS ON A LO IA NEAR
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,AI TER DIFENTS LOOKING TOTA GRASS IN TEES
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,AAGAN CARING A FUNIOR CAN IS ON A EO
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,THE YONGIRL IS ON A LAYINIT AANDOS AS SHE SONS MALLO OE
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,A PERSON WALKING A FRIT UPLOOK AROUND A JOCKER CARK BE ON A LANON
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH, ELEPANTING PASSEGER WITH ALLISTY MOTIVES ONIN ONT OA ONTE CORT OF SNAROD
