Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC WESTERN NEAR A WOODEN TABE
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE URINAL WHITE TILED ESIDE PEOBLE WITH A GRASS TA
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A PLATE OF FRUIT AND A NODENWOUS PASON
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RED TABLE WITH A TRANE ON IT IN THE BACKROAD
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A YOUN METAL MOSCULAR RED COVER WITH DISPLAY SITTING ON THE TABLE
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA WALKED PAST THE SIDE OF A BUS WITH A LARGE ADVERTISAN ON THE SIDEWALK
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN WALKING DOWN THE SIDEWALKNG AT A OR LATE
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TO A COMMUTER BUS WITH UMBRELLA ON A RAINY DAY
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA AND WALKING INSIDE A BUS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YOUNG SQUARE BOYS
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLACK AND WHITE PHOTO OF CHILDREN WITTING FODING FOR A PHOTO
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF BOY IN FOOT ARE IN A CAT BO
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,FOUR GOLS WITH TOT PEGGAN IN FRONT OF A TRACKWORD SOWING ON A BENCHEGE BLACK AND WHITE PHOTO
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,TWO FROT BOWTOS IN A GRAD TAL CAATED VESTA LIN
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN ON SKANDS SLY THROUGH WI CALS
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,THE SKIER TAKES UFF DOWN THE STEEP HILLSNOPE
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,THE MAN IS FERING A MID JUMP ON TREE IN THE GRAND
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,THE SPOOTER IS LEANING OVER WHILE JUMPING TO THE AIR
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING THROUGH THE AIR WHILE RIDING
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO PETCH A PITCH
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A MAN ON GRASS AND MANY BIRDIS WITH A FACTOR AND UMPIRE BEHIND HIM AND PAYER AN THE ENCLOSURE TAIN IN THE DAREGRASS
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,MATERDER IS WAITING FOR THE PITCH TO BE PECT
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER HOLDING A BATNETIN TO A VS
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE THE OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO FRIENDS ARE PLAYING WITH EACH OTHER ON THE LEASH
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,TWO THE TISA ARE PLAYING VINDEO GAMES WHILE OTHERS WATCH
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,TWO COLLAGE INY TOYS PLAYING WII WHILE OTHERS LOOK ON
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A PAPER IS WALKING RIGHT THROUGH A DINING MEAL
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,A BIRD WALKING THROUGH A TRAFITATIN NEXT TO A PETE
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A BOOSE WALKING INSIDE OF A CABETERIAL AREA
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A BIRD WALKING ON A TILED FLOOR IN A CABITERIA A
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A WHITE AND BLACK BIRD IS WROLKING BY A TABLE AND OME CHAIR
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,GAR CLOSE UP OF A DORG LARIA IN A BENCE A BOOK
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,AN OLD DOLL LAYING ON A BEND WITH A BOOK
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,A RETEN BABY OLL WITH A BOOK ITTE ONTOTER ON A GLASS
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,A DOG WITH A BUNNET AND A BOOK ON A CILLET
40,A BABY DOLL LAYING ON TOP OF A BED UNDER A BOOK,A BABY DOLL LAYING ON TOP OF A BED UNDER A BUK
41,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUNTER,A CLOCK SHAPED LIKE AN APPLE SITTING ON A HEAD
42,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POTTED PLANT,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POWER PLANT
43,A RED APPLE WITH A CLOCK INSIDE OF IT,A BIRD ANIMAL ITI TROCK INSIDE I TREE
44,AN ALARM CLOCK THAT IS SHAPED LIKE AN APPLE,AN ALONG TOCK WITH A SO LUSKING APPLE
45,A PLASTIC APPLE CLOCK ON A TABLE SURFACE,A PLASTIC AP LIT ACO TO THE SURFACE
46,HORSES WITH JOCKEYS RACING ACROSS THE COAST OF SOME BEACH,BORK IS OS JUCTING A TRATON ACROSS THE COASTIN PARDAY
47,A GROUP OF PEOPLE ON HORSES RACING TOGETHER,A PIC ON HORSES RACENG TOGETHER
48,THREE PEOPLE RACE THEIR HORSES DOWN A BEACH,TWE PEOPLE WITH WASE CAIRPOS SITS ON A BENCH
49,THE HORSES ARE RACING EACH OTHER ALONG THE BEACH,THE HORSES ARE RACING EACH OTHER ALONG THE BEACH
50,A BLACK AND WHITE PHOTO OF JOCKEYS RIDING THEIR HORSES,A BLACK AND WHITE PHOTO OF BACKNS RIDING A HORCYCLE
51,A PASSENGER TRAIN MOVING DOWN THE TRAIN ON A BRIDGE,A CATE IS TOYING MOVIE DOWN THE SWINNING ON A BRIDGE
52,A LARGE LONG TRAIN ON A STEEL TRACK,A LARGE ALONG TRACKS IN A FIELD ROAD
53,A TRAIN THAT IS ON A RAIL OVER A BRIDGE,A TRAIN THAT IS ON A RAIL OVER A BRIDGE
54,A TRAIN ON TOP OF AN OVERPASS BRIDGE SET OF TRAIN TRACKS WITH FIELDS ON BOTH SIDE,A TRAIN ON TOP OF AN OVERCAST IDGE SET OF TRAIN SECK IN FIELDS ON BOTH SID
55,TRAIN MOVING ALONG RAISED TRACKS WITH MOUNTAIN IN BACKGROUND,TRAIN MOVING ALONG WAVE TRACKS WITH MOUNTAIN IN BACKGROUND
