Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINANE WALCES IN WESTERN  PCEARING AITAN ODI
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE UOTTI TIES ON A OR TABLE IN A SHIP
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WIH A PATEN  FARA AN ANY FACING I
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A RED TABLET WARLET PLAYING X ILLO BAR WINDOW
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A LIV LIVING ROOM OM AIWIT SOTA A AO IA ON
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A HOOTEN HOLDING A OBE WOX PAS TRE SIDE ON A DES WITH AOTAGE ANIC ONTRO INSIDE
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A YOUNG BOLDER IS WARKING TO MASTER TRUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A LADI WALKING ALONG THE SIDEWALK WITH AD EER
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A MAN WALKING AN NEXT TO A ARBAN HOLDING RACKT ON A RAIL TETCHIN  COURT
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,WOMAN LININ A DE ROAN LINE AS AER SIN ON OAD
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,A BLACK AND WANE FO DA ON A GRASS IT ROSI
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A HARFY MADEN DERAGE WIT MAL CABLE WITH A WOODEN MOTO
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A YOUNG WOMAN INA SI A OIN  ON AIN OKA
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,A BARX WEN WIS SABES AIN IN OMAR JOTER SMIN ON INTOJEOE RID ONROD
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,A SI ONS TA BO WHILE SO IN TE LINDER SON A
16,A MAN ON SKIS FLY THROUGH THE SKY,ARPOS MAN ON SKIS RIDE THROUH THE STRET
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A SPIER TAKES OFF BIO STICK MD
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,A SOVERBOARD ON A BEARD SIDY ROV TEWATER IN THE WATER
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,A SKEAER TRYLEAVING VE OF EACH OTHER IN A BA ROAD
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN BLYING A HIR AK I A YELLOW UMBRELA
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A GANIT STANDS AT HOME PLAKE WITH A CATCHERS COSSHOW COUCH BEHAND IT
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A MINA DRESS IT TOAINI ON ALARG OFOR ONE HOIN A T I A OO
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A CODOF WAINING BE AR STOBIN O RO
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PATER PITS ON AD A BAS POR E PETCH
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,MUNAIN BODWAY IN A MIDDLOF  ANGANS ON A FENCE
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,A MOE ONOMAN LAYING IN A TABLEAUSIN HOLE  AN OTHER ATTACHED
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,THE TWO FRIENDS ARE IEIN LIKA CHECKER ARIN E BAKGOM
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,A EPANE TOK MANIS DOWN A IIACEIN ONG COIE ROAD
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF MEN STANDING IN A ROL ON SOME HORSE
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,AMANIIN CAR JES IT I OOR TWO COTTEJENE TRIERS ON ON ONEROOM WHILE OTHERS LOOK OV
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A PATCER ALKIN RIDT TOUG A DINON FILD W
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,A MEI WALKINGON IIN TASSEGE TO A MOTOR
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A ROM SPALL INSIDE OF ACANNET SIN IN A ROOM
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A ITER BATHROOM IT TOLL DOOR WIT BED O AN TOL BE
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS, TORINGA MIKON ATOTE ATIN LA  DONUT ONE CHAIRS
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,CANTAONAI OLLIN DONT PLAY IN A WRIT AAN
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,AN OORMIRAR LAYING IN THE BAG IN A MAT
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,A MAN PLAYING A OOR ABOUT TO STRIK ON A EO
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,DO A LID ERDWAN AONTUTE BOCKOF ELLOW
40,A BABY DOLL LAYING ON TOP OF A BED UNDER A BOOK,BABY DOG LAYING ON TOPOF GRASS OR A BADO F WATER
41,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUNTER,A CLOCK SHOW PATA TA AMUSIT IT A UMBRELLA
42,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POTTED PLANT,A LOK THAT LOOKS LIKE AN APPLE A HANQUIN AND A QOETBAOBA
43,A RED APPLE WITH A CLOCK INSIDE OF IT,A MAN ACTIN AA BAIBEHINE ON ON BALL
44,AN ALARM CLOCK THAT IS SHAPED LIKE AN APPLE,MAN ALONG  ROTS ON A SHIRF WALKING ON THE WATEER
45,A PLASTIC APPLE CLOCK ON A TABLE SURFACE,A PLASTIC COWL WALKING O ON ONAN ON A IN TABLE SURFACE
46,HORSES WITH JOCKEYS RACING ACROSS THE COAST OF SOME BEACH,A RED AND WITE SUFBOR IINI ROMPIN A OT I SONI
47,A GROUP OF PEOPLE ON HORSES RACING TOGETHER,TE ON PEOPLE ON HORSES RACING TOGETHER
48,THREE PEOPLE RACE THEIR HORSES DOWN A BEACH,BO P GOTING ON THE BAD AN ALL T PEOPLE WAIN
49,THE HORSES ARE RACING EACH OTHER ALONG THE BEACH,OOOF HORSES ARE FRACING E SHELS IN I ROOM  WINA SHOWON WALL
50,A BLACK AND WHITE PHOTO OF JOCKEYS RIDING THEIR HORSES,A BLACK AND WHITE HOLDERIN A MAN IS AR OUTOF E FO
51,A PASSENGER TRAIN MOVING DOWN THE TRAIN ON A BRIDGE,AVERY BATHROOM IT IIN CABINE IN EXTI ROOM
52,A LARGE LONG TRAIN ON A STEEL TRACK,A LARGE MONTORATE IT WIND IN THE RANOM
53,A TRAIN THAT IS ON A RAIL OVER A BRIDGE,A TRAIN THAT IS IA RAILNG TROUG A BRIDGE
54,A TRAIN ON TOP OF AN OVERPASS BRIDGE SET OF TRAIN TRACKS WITH FIELDS ON BOTH SIDE,ANTRE ON GLASSES ON LA IHEAD AOVE A TRAIN FRONT IT A ON WO
55,TRAIN MOVING ALONG RAISED TRACKS WITH MOUNTAIN IN BACKGROUND,A DRAIN HITE FLO RA CRAN WITH A BROWNN WALLN BATHROOM
56,A TEDDY BEAR SITTING IN FRONT OF A PILE OF BOXES,A PLAYN LAYER OTHER MAN ONING IA RIDE IT TE OFF
57,A TEDDY BEAR NEXT TO FOUR BOXES ON THE FLOOR,AANTEDDY BAL NEXT TO WI BOXES ON THE FORE
58,A TEDDY BEAR SITTING ON THE GROUND IN FRONT OF MANY BOXES,AME ERIS A ONTE SIN IT A TONAR ARAE TANAG
59,A TEDDY BEAR IS SITTING IN FRONT A GROUP OF BOXES,A TEDDY BEAR AS SITTING IN FRONT OF A FRONT OF BOXES
60,A BIG TEDDY BEAR SITTING NEXT TO SOME BOXES,A MANY TI VASE IT ITTISOF VASES
61,A SEAGULL STANDS ON THE BEACH IN FRONT OF A WAVE,TILE N HOD IT BROPER VASE AIN UNER A WIDOW OF A TABLE
62,A SEAGULL STANDING NEAR THE OCEAN ON THE SAND,A SEBECYCE SITTING ANE A MOTOR CAL SIDE O 
63,A SEAGULL STANDING ON THE SAND NEAR THE WATER,A SEITA STANDING ON THE SAND OF A AIRPOR WO
64,THE BIG BIRD IS STANDING ON THE BEACH BY THE WATER,A BATHROOM WITH ANADE FIREHUS ITIN WO I ATI
65,A SEAGULL STANDING ON THE SAND OF A BEACH,A SINK UGS TOWN I ON BESIDE OF A NOR PORGE
66,A BUS FULL OF HAPPY TOURISTS DRIVES DOWN THE STREET,A BUS PULL OF TRACFIN IN TOT R DOWNST
67,DOUBLE DECKER BUS WITH PEOPLE ON THE TOP FLOOR ON ROAD,ON OEN ON E TOP OF SITTING ON HE BATHROOM WATER HOL RIDING IN E DO
68,A DOUBLE DECKER BUS WITH PEOPLE WAVING FROM THE TOP,A DOUBLE IS INE DO TIEN IN OA TEI
69,A DOUBLE DECKER BUS DRIVING DOWN A STREET,A DOUMBLE DECKER BUS DRIVING DOWN A SRID O
70,RED DOUBLE DECKER BUS WITH PEOPLE STANDING ON TOP,AS ELEPHANT WITH BUS IN A BOSE STANDING ON TOP
71,A MAN LEANING HIS MOUTH DOWN TO A PLATE THAT HAS A SANDWICH ON IT AND A BLUE WATER BOTTLE BEHIND IT,A MATRO HAT IS MOKEN UP WIT IF A BOOK AND A LID ON E WALL
72,A MAN TAKING A BITE OF A SANDWICH WITHOUT USING HIS HANDS,A MAN TIGGING OUT OF A SENTIN OTOT IN ON OBE
73,A MAN EATING A SANDWICH OFF OF A WHITE PLATE,AN ANESANDWIC TAI I A WHITE FILLED WITH COO
74,A SMILING GUY STICKING HIS FACE NEAR A BIG SANDWICH,A SMILING GUY IIN HIS GRACE GR EATING SOUNDIS
75,WITHOUT USING HANDS A MAN TRIES TO BITE A PAIR OF SANDWICHES,TWO MAN USING SNONBOAD INFON ENTRIC DESTO MODIN IWORK SADWACHES
76,A HUSKY STANDS BY AS A SKIER STANDS THERE,A PERSON ISTENING A BAT IN BASINA RAN TOHIN FIELD
77,A PERSON ON SOME SKIS AND A DOG IN THE SNOW,A APEITIN ONIS IS FEET T A DOG ININ A STREE
78,A MAN ON SKIS WITH A DOG NEXT TO HIM,A MAN ON SFIELD ITHA DOLL NEX TOA TENTE
79,A MAN ON SNOW SKIS WITH HIS DOG,A WOMAN TASSINGERS ENIS ON ALL TOT TH BALL
80,A PERSON RIDING SKIS ON TOP OF A SNOW COVERED SLOPE NEAR A DOG,A PERSON  SAS ON TOP OF A SNOW COVERED SLOP NEAR A HAR IN WAT
81,A GIRAFFE REACHING UP TO SOME TREE BRANCHES,A OTORAPH OF A CORK ER A OE IINI
82,A GIRAFFE STANDING UNDER A LEAF FILLED TREE,A PITCHER BAT IS WINGING ON A OFOM  THROW O ATSO GAME
83,THE GIRAFFE EXTENDS UPWARD WHILE EATING FROM THE BRANCHES OF A TREE,A CARN AXENDIN SMOT WORDS MOTATED ON E RANGS AN MOR
84,A GIRAFFE THAT IS STANDING IN THE GRASS,A LITTLE GIRAFFE THAT IS ON A ELPHOM IN FRONT OF HA WINONTOLE
85,A TALL GIRAFFE STRETCHES TO REACH HIGH LEAVES ON A TREE,A TODD IN LERGE STRETGED TAAASH BEHIND AN OON A DRAWER
86,THE PALACE OF WESTMINSTER FEATURING ELIZABETH TOWER THAT HOLDS BIG BEN,A BATEN ITA BLA BALL ERN A BACKET AR AN A POWER IN O A BATR
87,A BRIDGE NEXT TO A TALL BUILDING AND THE BIG BEN TOWER,A GRAY IT NEXT TO A TALLROOM WITHOAND  TAN NO
88,A CASTLE IS SHOWN ON THE WATER NEXT TO A BRIDGE,A STARLIGHT PASTEN LIGHTS SHOWIN OR A MOTER ON TO ENTRE
89,AN OLD CLOCK TOWER STANDS NEAR A BRIDGE AND OTHER LARGE OLD MEDIEVAL TYPE STRUCTURES,AN OLD TRODER DIN A ROAD NEAR A RAG WITH LARGE O WIT EAPLEIGTSHONTR
90,THE BIG BEN CLOCK TOWER TOWERING OVER THE CITY OF LONDON,AN IN A BIG BAN ON TOW II OA AREA ON IS SITTING ONADIN DOUN
91,MAN RELAXING NEAR A TRAIL CLOSED SIGN ON THE GROUND,A MAMILY LADIN ARO A ON HO A ODIN IN A KITTER
92,A MAN SITTING ON A WALL NEXT TO WATER NEXT TO A BARRIER,A MAN SITTING IN WLAR SOME WATERN IN SOME WO
93,A MAN WITH HIS SHIRT OFF SITTING BY THE SHORELINE SUNNING HIMSELF,A MAN WITH A SHIRT SITTING BY A SHIRTIN SEN ON HIS OWA
94,A SIGN LAYING ON A LUSH GREEN FIELD NEAR A BODY OF WATER,A SIDELAY OF MASH GRA TALI  ON LATE OF VEGON
95,A MAN WHO IS SITTING DOWN NEXT TO A BODY OF WATER,APO SAFINBOARD WATCH IN E BODY IN THE WATERIN
96,A PHOTO TAKEN FROM A CAR LOOKING AT A SKATEBOARDER ON THE SIDE OF THE ROAD,A BIRD AN TATE ORAN OPAN MUFFU WIT CO AND A AE ON A ABE AN ROG
97,A ROAD FILLED WITH CARS IN A DESERT,A ROW OF ANES AN BOATS ON A DESERT A RA
98,A MAN WALKING DOWN A STREET NEXT TO A ROAD FILLED WITH CARS,IIIN ROWIT TESTIALWOI ON DOORS BARE SINK
99,VIEW FROM INSIDE OF A CAR OF CARS ON ROAD AND A MAN ON THE SIDE OF THE ROAD,MAN WOMAN HIDING A COARNO AN O WIING NIG VEA ON THE SIDE OF THE RAM
100,MAN RIDING A SKATE BOARD TOWARDS THE TRAFFIC ON A TWO LANE ROADWAY,A MAN RIDING A SKATEBOARD LARGE A DRAFFIN NANES TO INO IN EL
101,A GROUP OF PEOPLE GATHERED AROUND A TABLE FILLED WITH FOOD,AOTOPED  HAFTER IN OIN A II BARD
102,A LONG TABLE WITH MANY CONTAINERS OF FOOD ON IT AND MANY PEOPLE AROUND IT,A LONG TABLE WITH MANY CONTAINERS ARROUNDED ON IT AND MANY PEOPLE ARROUNDIN
103,PEOPLE ARE LINED UP ALONG A LONG PICNIC TABLE,PEOPLE AN A BABON IN AIN RUN ALONG MICNIC DAY
104,GATHERING OF PEOPLE DISHING OUT FOOD SET ON A LONG TABLE WITH CHECKERED TABLECLOTH,A ROWE LOKINGED OWN OA ITH TO WALLS ANE ILON ANEONOTA ON WALL
105,A GROUP OF PEOPLE EATING FOOD AT AN OUTDOOR PICINIC,A GROUP OF PEOPLE ARE EATING FOOD AT A OUTDOR ONTABE
106,A CAT LAYING ON A TOILET SEAT WITH ITS PAWS INSIDE,A MAN I AN A MAN IN EIL OMTER OKIN A O ON EMO
107,A BLACK AND GRAY CAT IS SITTING ON A TOILET,A LICROWAVE DON IS SITTIN IN A DON ON OR
108,A CAT SITTING ON THE EDGE OF THE TOILET LOOKING TOWARD THE OPEN BATHROOM DOOR,A HAT STI CONAN A DOG DOONN ONT OF A ASEABLE A ON A TABLE
109,A CAT SITS ON THE EDGE OF A TOILET,A IC YCLE  OKET OFF TENNIS SD AN I SI TI
110,A CAT IS LAYING ON A TOILET SEAT,A DER BUK RIDING ON AGE AR RONI ABOD
111,A CAT SITS ON TOP OF A TOILET BOWL,A LIGTIIN A TOEN O O WOD IN A CI
112,A SMALL CAT SITS PERCHED ON THE BACK OF A TOILET,A TILE CATCIINS A PERSION ON A BACKET IINA WA O MAR
113,A CAT SITTING ON THE BACK OF A TOILET BOWL WITH NO TANK,CATIS ON THE BACK OF A TABLE IT A A BOTE AR FROD
114,A SMALL CAT SITS ON TOP OF A WHITE TOILET MISSING ITS SEAT IN A BATHROOM,SMALL AG A ON TOP OF A WIT ORLA OIN ANEAT INY BACKGROUND IVER
