Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A ARIONA WHILE HOLDING RESTAR AN A REPARING AI TABLE I O
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE OMTA TIEIS ON A ON TABLE IN A KITCHEN
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A PABLE ANA FACING FRON
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,ATA RED TABLE  ORNA PLANG IN ORAN WIBOW
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A BAIN I UBELLA AR RUK O INTO A ROD IA A
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING A BURBE WAK PASS TSIDE ON A RAS WITH A LAGE ALAN ONT INSID
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,N DON BUIDING IN PARK INTO MASTER BUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A MAN IS WALKING ALONG A SIDEWALK WIT A RIN  OTOD
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A MAN WIKING AN EVO TABOL ANR O UMBRELLA ON A RAINANI A
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,WOMAN LAING IN A GIR LING IT  ON SINE A ROS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,A BLACK AND WHITE GON DOWN  GRASS OF A RO SUBWAY
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A HAR WALING OBOG TO ROW TABE WITH A BLODEN MOWNAINSIE
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,ABOY AN WOIN N A SIR AINA I ANA OA
