Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A SYBER   COMES NEXT TO IDRA TA SHIR A OI
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A LIG SERSON ONA TIPING SIIN TO A F AN GRASSES INEBO
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,APAN ASONA PAPARE OFPIPE PIZZA ON E A
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A OPATED TABE OSAR LAYING AN OSTE
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,SEVERAL WINDOWS AND A FLUSSY EAR IN  OE  O  SESTION OF  SA
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A BARIDING ON IS MATCH BESIDA DEFICE IT AENGOP ON A SNOE SET
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A SNOWOBER LEDES WOR A APSEOF FARERD IN PAS A IIC
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,SI MANIN OON SIS ON TE STON
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A FEO MEN TALK ON BESHANS NEAR THE STUP OFA ROD ON A CET FIELD
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A TEE O GA TO RAW AT OLE SIN A BUS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,A LAN AN AS A PARKEDITE SATU IN THE SIDEO RAM
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A PATE NEX TO A TE POSESSER WIIN OA NI
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,O GROPO STANDING ONEXT GRASTN A DO
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,A ERS NECCYCE WIT A LAE SID IN SOTIAANINI
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,A SA ESTE AOUNT IESITOS OA CHAR
16,A MAN ON SKIS FLY THROUGH THE SKY,A BICYCLI IS ON A ROSE IN ASSO HARO TIS FAG O THE TANTOP
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A SIER TENDS ON GRAS STATE PLAYE IN BAFE
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,ON SEXNA UMBRELLAS ON A SLOPE TOWARD  AE ON A S
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,CELEBA FITIN PARD WITA BUS OF 
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,TWO MEN FLYING A AIR OF PIDER INAFIT A I AN
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL MAMAYER IN FORM ROSTER TON ATS ON TE TEPATCHER NPOSON TRATA
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A TEN E  CASITATIO A ASIS OFESTIC SIIOA OAR ITH O  PASSIN BY A A
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,AE TRAIN SITTING AN VEGETAEON OUTLOT
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A PACE OF PALLISTAN WITHAR TAN IN AN STOR
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,I A AIN I ANTI ON I I SII
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,ICA PLAY OTETRONERI  PS CHI COOKING AT O OTER
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,A TRESS ARE PAZING IT EACH OTHER HIING FASEAN O A STEND
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,AFITUN IN A KITCHEN  OESIDE STARE TEEL PLAN WI  TABLES AND A SAES ONHE WALL
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF MEM STANDING IN MEAR IIT INTE OG
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,T ARTO HARAGE BAGE CO ANE TOP OF  AL
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A PISACE THAT IS OSING OT A CILDAN HALL DOG
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,A MAN WALSIN IS BLANDER SHATING DOUT IN A CITY
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,IK DESK TAT HAS EXIE ANE STET IN AR
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,E ON TE TRANS ATTESON OF A ROALD INTERSECTES OFFEN
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A PAREC HYDRE HYDA NEXT TO SIDE ETO OES
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,CAT OSOLK CAT WITH A WHITE LATE IIAAN ARI  AN FRONTO ONTE
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,THIS IS A A SAT OF MATE EGGS AN A SUS
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,ARITES AT IGTPOIT ONE BITE TANT ONIT
