Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A BEARFASIS MAN SO A PITURE O ANSHEE DOG AN A T
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH, ATEN OF OTAIG SIEN TO O ES ON CAS IT A BO
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A PARO H A TO POPR O IIN
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,OPE TABLEARE LAYING A COUCH BREAKFAST
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,EVERAWITO AN A FRESIAL BEAR ITH A  OKO  C
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,IDING OA MA ASSINGER DESPOSED ATLEDGE OP ON A SNOW HERSE
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A SNOWL GIRL HAKS HOR ALICERS ONWARDING PAS TEIR BAS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A MACNIC OSI ON  STYCLE  ON THE STREET
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A POPE MENT ON ON ATION ATASTOF PEOPLE ON A TIX FIELD
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,TIS GEVAL BUK TARRIE TO CRIDE OT A MOLL YANT SIGN AT BUS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,A WOMAN AS A POPLE TARKING THE SEATAN A INTICIIN RAM
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A PARKIC NEX TO A CAT OSS E SKIT AN A PRIK OF BAON  AA
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A PIPOPLE STANDING ON EXPRESSONT A ONASTE
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,AN EXCYCASE WITI MAADERS AND INTE POTOF APENI I
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,ASON PASTRA A OUT WIT A SUITCOSE OF A CART
16,A MAN ON SKIS FLY THROUGH THE SKY,A KICY CANIN ON A BOARDS N ASSY FOTO IS BLAG BY THE TANTOP
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A TAYER TENNIS OA  SKIT ODER I E TEL
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,A AON ON EX BRA IS ON THE SLOPE TOWARDA AAIR AT ASKA
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,CELE REENIN POTO BUS OF TETI
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,TWO MEN FLYING A AIRAPO IN A PIT AT TIS TAMP
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PALYER A ORM RESTAR TON PAS TO TE CATCHER AN POSONE TRAG
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A OTRESON AS A PASON IS A OTUS A PERSON SWINGINGOT  A ASE B
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A TINN SITTING AT  RACH TO HATT UP A BALL
