Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL WITH A PUBLIC BESTHROOM INAR A WOODEN TET
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE URINAL AY SIN IT A LIGE PEOPLE IN SA
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A CAKE AND FRINK AND A METED WIT PIZZA
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RER TABLE SITTING BINY ON IN A BATHROOM
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A GINE REMOT TO A BENC WI CITTI ON A SI
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA A D WALKS PAST ON THE SIDE OF A BESK WITH A LARGE AGRESS ON TRET IN OTER
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A BOKEN WITAN UMBRELLA IS WALKING PAST A BUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A BUS OF CLOSSES DON A SIDEWALK AN A FIELD
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TEOITH A DAK IT N UMBRELLA ON A R AC
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA IN ALKING  LIGHT ABOVE
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPHOF OFON IA PORES
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLACK AND WHITE PHOTO OF CHILDREN TITTIN PAING FOR A OTER
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF BOYS IN FOTED OVER AN ATPO
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,TABLES WITH POZZATER N FRONT OF SASTI SAN AN DRINTEN UCTON ON TABLE
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,TWO BASSBOS ON A GE FAELD IN A BAKPAD
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN ON SNANY SLI THROUGH THE SKY
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A SKIER PLATES OUT JADE IN A TATE
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,A MAN IS UKIING A MIDDRAST AN SI AA
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,E SKETER IS USING FORAWIL DIFFING KITE
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN IS LYING THROUGH THE AIR WHILE RUDING
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER AND A BATTE PIZZA ON PLATE WITH A RACKET EATING I O PATCH A PAT
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A RED UMBRELLA TOE BOS E ITE CATCER UMBRELLA ALTEN EPALOR O E ENCLOSUNE IN EBOREGOND
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A HITTER IS PAISING FOR THE PITCH IN BAL
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER ON TO BAT IN FON ITTING THE CA
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER HOLDING A BAT E TO A FILD ET
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,TWO MEN PLAYER STAY NITENDER A CONCER WHILE TWO OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO BIRDS ARE PLAYING WITH EACH OTHER ON THE WII
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,SHEEP WIT INBO AN A VIGTL BEAR ALL OVEN GLALL
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOPLE STANDING IN A ROOM WITTH OM REMOTE
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,E OANI POWER IN CASE AN A ROOSE WHILE OTHERS ARE DON
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A CYCO IS WALKING OUP AV A DINING AM
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,A GIRL IS WALKING TROUGH A TRAFFIC LI IN HER SI
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A BEAS WALKING TO THE SIDE OF A TRAFIC CENEA BOARD
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A BIRD WALKING ONSANA TREET IN A GASY TE OLD
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A WHITE AND WHITE BIRD FOAKING DY A BETY AN
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,A ORIN TALL HAIR STO PETTING  ECANDE NOLOFUL FOT
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,AN OLD DOG LAYING ON A BED WITH A BOOK
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,A GROUP OF BINTIN AL ITBOT  POPE AE AL
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,A DOG WITH A BUNNET IN A BOOK ON A PILLOW
40,A BABY DOLL LAYING ON TOP OF A BED UNDER A BOOK,A BASEBALL LAYING ON TOP OF A BETCH UNDER A BELT
41,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUNTER,A CLOCK SAPED ATE UP ON CITYAI
42,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POTTED PLANT,A CLOCK THAT LOOKS LIKE AN APPLE OF ENGINE AND A OLEPLANT 
43,A RED APPLE WITH A CLOCK INSIDE OF IT,SER AFRIS STOPPED IN THE BOTO
44,AN ALARM CLOCK THAT IS SHAPED LIKE AN APPLE,A NEWON TOUP CITY STREETS LOOKING ANTER
45,A PLASTIC APPLE CLOCK ON A TABLE SURFACE,TE PLASTIC APPLE POL TO THE TOKS
46,HORSES WITH JOCKEYS RACING ACROSS THE COAST OF SOME BEACH,FOUPEPE SOPP IN FO N TE TOP  OE OVE
47,A GROUP OF PEOPLE ON HORSES RACING TOGETHER,A PEOUPLE ON HORSES RACE IN A FIELD
48,THREE PEOPLE RACE THEIR HORSES DOWN A BEACH,THRE PEOPLE AT BAC YBE FON PIZZAZA
49,THE HORSES ARE RACING EACH OTHER ALONG THE BEACH,THE HORSES ARE RACING EACH OTHER ALONG THE BEACH
50,A BLACK AND WHITE PHOTO OF JOCKEYS RIDING THEIR HORSES,A BOLKON WADEBOARDER OF A BOTNY RIDIN  OBAR
51,A PASSENGER TRAIN MOVING DOWN THE TRAIN ON A BRIDGE,A TRAFFIC IS ON EMETI ON TE STI ON FRUIT
