Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A ARIAL IN A PUBLIC DECTI R WITEN TI
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE NII
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN, TABLE WITH A TATE STAT
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A WA SIN IN SI
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,ISIDEI
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA CROSSPAST THESIDE OF A DESK
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,OTIN AN UMBRELLA COX ONTROK
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,TO IS A TAFA O TIDES DOWN  STREET
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,WOMAN WALKING E TOT NEARU IN CR
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,OMAN WITHAN UMBRELLA WALKIN BESIDE A BUS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF AX STITCASE
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A PAIN I ITENI 
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF BICYCLE ON E STOT
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,IT TA
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,TO IO
16,A MAN ON SKIS FLY THROUGH THE SKY,A YELLOW CTY LIHTINSKY
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,ER SATE OLF BOWN TES
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,LEST T T
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,TTER  E
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,ATI N AIRBO
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A BASITAN AACTER WITH IEI
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A DASK I
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A VIRY SETI INA PICH TO BE CLOS
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A IS BOFIIA
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASALL PLAYER IN IS BACK
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,POPE PLAY INOGATO O ON THE OTHER SIDE
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO BRES PRAY  EACH OTHER ON TE 
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH, E IE APOPE O O WAT
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OPE SANDING IN ABOO
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,  SITTIN ON TE TOP OF A TO
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A PUS WALKIS NEXT TO A IT ON
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,THERE IS WALKIN TREET A
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A PISE BRALK BESIDE OF CATTE
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A BLUE WALL I IAXTO
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A WHITSABE SIT I
