Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC RESTROOM ANDPAR WODIN TABE
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE ANDON AN
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A CAKE ON  IIIN TAK
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,RE TABES  PLAN ONTEGROUND
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A TE PATE ATE  
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA WALKS PAST E BIKOF E BUS 
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOMAN HODING UMBRELLAS AN WALKG  O TAK
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN WOCKIN DO A SIDE DAK INA FIELD
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEAR TO IE BUS I UMBRELLA ON A RAIC
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA N WALKING BEHIND A CAR
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF BO T FAS
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLACKIN I FITON A SII S O A
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF BOYS AN SIT OIN O
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,A BUS WITH COSOTE A O OE SITTI ON IN
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,A A BA AI II A
16,A MAN ON SKIS FLY THROUGH THE SKY,A MANON SKIS FLY DRING E SOW
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A LID CAK OKED DOWN 
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,A BA IT I BAIN
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,A BIR IS TIING A AA A
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN LYING WITH AN AIR HORT 
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER AN A A ITH A BATCHER BAT
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,AA DUK IT CITEAAAT IT AT A
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A BITTER IS WAITING FOR THE PITCH TO A ALL
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER AT IS BATT  A E ITCH
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER HOLDING A BAM
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,A PLAYER I ABASABO WHILE THE OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO BRENDS ARE CLOSE TO EACH OTHER ON A FIECH
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,TWO PBERSBER O ON CIRDO GAME FON A BOTE WAT
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOPLE STANDING IN A RO  AOA
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,TTWO PALAGE FE TRAS PLAYING WI WHILE OTHERS LOK O
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A BIRSON WALKING PAGT THROUGH A BARK
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,A BIR WALKING IN  GROAD ON TE FIED
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A HOICE WALK ON THE SIDE OF A TAN TE
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A GIRL WALKING O A IN FILD
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A BAKE OF AT BODIN ATINI 
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,AN FOW OP AL A O BDA BAS
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,AN OLD DOG LAYING ON A BED WITH A BED
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,IE AS CAS SIT SITIN TEE
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,A DOG WITH A BOX AND A BOO ON A PILLOW
40,A BABY DOLL LAYING ON TOP OF A BED UNDER A BOOK,A BIG DOG LAYING ON OE OO
41,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUNTER,A CLOCK SHARED LIKE A TRAVEIN ON E ROAD
42,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POTTED PLANT,CLOCK DEX WITH RIGHT AND APPL AENDIN UN OE TAK
43,A RED APPLE WITH A CLOCK INSIDE OF IT,A RED ANMAL  TOPIN KIKE
