Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC WESTERN NEARANG LIVING RTABLE
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,THE WHITE URINAL ON A TIME IN SAEBY TABE IT ABE IN GRASANT FILD
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A PLATE OF FOOT AND A WOODENAN BASIN
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RED TABLE WITH A PLANE BUSH IN THE PATFORM
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A VIEW OF NEXT TO A RED TURNLIT TOY IN ACTI BOT
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A HOMAN WITH AN UMBRELLA IS WALKING PAST A BUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A BODIN WALKING DOWN THE SIDEWALK INTIKE Y A RIVER
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TO A COMMUTER BUS WITH AN UMBRELLA ON A RAINAL
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YOUNG STREETLOTS
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLACK AND WHITE PHOTO  JHITIS SITTING HOLDING A RAANA
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF WINE ANSI TOWE IT A HAT ON A 
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,SCHOOLBOYS SIT CLOSE OF E CONFRONTAL CHAR WORK SIN AN VINTAGE ROU NAR EPRIDOR
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,ASPOON FRIES OR DONIAT BOI SY STITTNSIDE ON A BADE
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN ON SKIS FLY THROUGH THIS AIR
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A SKIER TAKES OFF DOWN A STEEP HILL
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,A MAN IS SKIDING ON HIS JRUNKS ON THE TORD OF WATER
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,A SKIER TIS GLEAMING FOLT ON JUMP OF IT PAR
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING THROUGH THE AIR OVER HIM
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A BATTER STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A WITT
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,EO TRAFFE RAN BO IIN IN A HO O ONTNAN AN ARFUL E ENCOSIN  ODE 
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A HITTER IS WAITING FOR THE PITCH TO EAT OFF
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER POS IS AT AND WAITS FON THE PITCH
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER HOLDING A BATHROOM OL OF A LASE
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE THE OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO FRIENDS ARE PLAYING WITH EACH OTHER ON THE LEA
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,TWO  TAT RED ARE PLAYING VIDEO GAME PROUL OUTTER BY
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOPLE STANDING IN A ROOM WILH SUDEBAKS
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,COLW COLLEGE AGE BOYS PLAYING WII FOR OTHERS ABOVE
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A BURGER BLALKING RIGHT THROUGH A DINING ROOM
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,A BEAR WALKING ON GEROOF OF HABIS ALEPHAN EXT TO A DAK
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A POLICE WALKING INSIDE OF A CABINTERIAN AREA
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A OVER OFFIN ON A TILED FORDEN IN A CABETERIA
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A WHITE MIREA IS WORKING ON A TABLE ADE SOME CHAIRS
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,A CLOSE UP OF A DOLL LAYING IN A PEN IN A WOOD
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,AN OLD CON LAYING ON A BED WITH A BOOK
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,OA BAKE DOLL IS LOOKD ITIPATION BEHIND ITS LAP
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,A DOG WITH A BONNET AND A BOOK ON A PALANA
40,A BABY DOLL LAYING ON TOP OF A BED UNDER A BOOK,A BABY DOLL LAYING ON TOP OF A BEND NEAR A MUNWAY
41,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUNTER,A CLOCK SHAPED LIKE AN APPLE SITTING DOWN A CABER
42,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POTTED PLANT,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A PALED BAT
43,A RED APPLE WITH A CLOCK INSIDE OF IT,BEN ANIMALS ARE GRAB INSIDE OF A
44,AN ALARM CLOCK THAT IS SHAPED LIKE AN APPLE,AN ALONG PON ZITY SHAPE WARKING OUTOR AA
45,A PLASTIC APPLE CLOCK ON A TABLE SURFACE,A PLASTIC APPLE ALO ON OTIG SERVACE
46,HORSES WITH JOCKEYS RACING ACROSS THE COAST OF SOME BEACH,A PORSES JUCKING ATTENSING ACROSS A COSTER SUNPATE
47,A GROUP OF PEOPLE ON HORSES RACING TOGETHER,A GROUP OF PEOPLE ON HORSE ES RACING TOGETHER
48,THREE PEOPLE RACE THEIR HORSES DOWN A BEACH,TWO PEOPLE IN WHIT CASER LOOKING A SIT
