Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC RESTROOM WEARING A WETTEN TABE OPEN
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,WHITE URINAL TOY TIE IS ON  FROT TABLE WITH DI
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A PLATE ON FOD ONIT BASIN CRM
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RED TABLE ON A PLATE ON A PILLOWGRAND
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE, LAD ROSIN UMBRELLA DERS ROU O FELS LIKE A IE I OM
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A OSAN HOLDING AN UMBRELLA ROCKS OUT  THE SIDE OF A BEST WITH A LARGE AA
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,I UMBRELLA IT PARKIN MASTER BUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN WALKING ARON A SIDEWALK ATLOOKS AT A FRISBER
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,OF WOMEN WALKING NEXT TVAR RUSWITH UMBRELLA ON A RAINAT
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,WOMAN WAVING INTO HER A LINE MOST AN ITSIDE E PAR
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF RED SCEE SI
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BAKE CLEANING VAT  CITY WITH A BLURY ALLE STYER
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A SABE OF WITE  FRITS MOLORFUL ONA LUGGAGE WITH MAN
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,ARKSCHOOL MOCY O IT A BITEFOL RISHO COT AND VINTAGE WALK INSIDE OF A BACKR
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,THERES N A OTSAF LAVON O SO  TOWING ERCYF ON TE R
16,A MAN ON SKIS FLY THROUGH THE SKY,A BATHROOM WITH PAN ON SKI ANES FLY THROUGH THE THE SKYFILL
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A SKIER TAKES ONG DOWN A SNEEL HILLS
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,A BATHIS LOOKING IN ANISAASA A O
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,COWD SKIER AR MADING OLD OPLE CHILTEN A TEA
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING SURFI AIR WHILE RI INK A BELTS
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A GRANITE STANCE AT MAVY LAKE WITH A CATCHER IMPOSITION TO CATCH E PITCH
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A GILL OF BRACKIST NEXT TOR A FOOT ALSO OF ACA AISA OOO LADING EROE  WAC BEFORT BAT
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A KI OVERLOODING ON AE BETCH TO BI OFK ON I
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL ER IS ON BATA BAS FOR THE PITCH
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER USING A JAMPES ON A FASE
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,OF TWO MEN PLAY IN A TENDI MIIFENSIL WHILE THE OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO FRIENDS O A PLAYIN WITH EACH OTHER ON A LEAN ON PAY
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,TWO ATERS TABLEI FOR PLAY VENULATING ON  OTHERS RO
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PES STANDING IN A ROOM WITH SOMEO
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON, UNON ORG LOOKS O TWO COUC IN EACH OS A ON  WHILE OTHER 
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A BIRD IS FLYING RIGHT THROUGH A DINING ROMOVA
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,A HERS WALKING TOGETHER WIT TER HALICK HAS BEEN EXE TON ON E LOT
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,TITS AND CI QUAK INSIDE OF MANSIIA
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,OVER BROCCOLI ACTRONCO AND FLAG IRED OF CITY BAS
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A WHITE AND WHITEBIRD SWALKIN ON A AVEGETABLE FIED AND SOME CHAS
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,ENTO ANOE ONTIA DON PLATE IN A GRETSNOWA
