Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC RESTRAMRAND WUTTING O
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,WHITE URIONIITAT AND TABE WORA AI
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A PATER OL AA BASEO BATIN
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE ROOD TABLE WITH A PLAN ON AN EMPTY BATHROOM
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,PAFFEC TABE IT ANGUASES  FESI SLA FOLIN OTO OT
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING A UMBRELLA ON A DUCKED PAST THE SIDE OF A BWIT LARGE ACTIVOIREA
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOMAN WITH AN UMBRELLA IS WALKING ACROSSBI
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A PO OPE PAK OS TE CO OTAN AS TOO
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,O WOMAN WALKING NEXT TO COMMETER BUST WITH UMBRELLA ON A RAINY DAY
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BAK
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,A BLACK AND WHITE PHOTOGRAPH OF BILTS 
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLACK AND WHITE POT OF CI ST PLAN AX O
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A COUPLE ARE ALKIING FROM TE SENCH ON THE FRONT ANA TOFFA DUS
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,SCHL WIT SI PASSL AN CANBIGE ON THE OTHER SIDE OF PANCON E OOF LURY OEO
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,AWITAGED ANDICATE WITH AUCICLESTINTE OUTSIDE OF A
16,A MAN ON SKIS FLY THROUGH THE SKY,ARATINA MAN ON HIS SKI ING IS FLYING THROUGH ROSEGIDISI
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A SKIER TAKES OFF GOWN EONT
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,I ON A LIK JUMK ON T A ANIMAL OTER
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,HE SKIER IS LEATING FOTHE WHILE JUMPING ON OTER KLEBOARD
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING THROUGH THE AIR WHILE RUDING A EM
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A BATTING STANCE AT PLATE WITH THE CATCHER IS POSITIONED TO CATCH HITCH
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,MAN O BAT ON A SETTING WORKE FORM OF A A HASO ON FONAHAPOSEONN THE OCEAN
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A HITTER IS WAITING FOR THE PITCH TO BAK PARK
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS OVER THE TETCI
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER HOLDING A BAT NE KITCON AAI CA
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,TOFEN PLAGS INONTOF I ONSOLE WILE THE OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO FRIENDS ARE PREMATING EACH OTHER ONA LONG ATE
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,THE TWO WINON AR PLA A CAMBELINES WHILE BOTERS LY
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOUPLE STANDING IN A ROOM FULL OF FONT OF REMOT
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,T COTEERICH OLIS PLAN
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A BERSON IS WALKING RIGHTA GINAN
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,VERY FOR THING A BANALI SITTING MOTORTYBLE
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A POLICE WALKING INSIDE AN TECANEX WITE PEOPLE
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A COUPER OF WATIG STY ARS ATTE IT A SMALL RID
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A WHITE PLATE WITH A OTTEPAT ON A TABLE AND PIECE OF SHEF
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,CAT CLOSE UP OF AR DOG LAY IN A BED
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,THE FORSOS DOGS ARE LAYING ON THE BED FILL O O VEO
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,AOOKING UP EIIAN ON MADE POLO IT AN ID APESHOR AT ON THE GOND
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,A DOG IT A BONETR IS IN A BOOK ON A PILLAW
40,A BABY DOLL LAYING ON TOP OF A BED UNDER A BOOK,ABABY DOG PLAYIN N ODES ANHER ON TOPWINDO
41,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUNTER,ACLOCK SHAPED AN APPLES SITTING ON A TABLE
42,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POTTED PLANT,A CLOCK PACK OF SNACK AND CAPHLE HANGMENT AND A STALLET CAT
43,A RED APPLE WITH A CLOCK INSIDE OF IT,A BED HAS OF  TOPPED INSIDE IT I A PON
44,AN ALARM CLOCK THAT IS SHAPED LIKE AN APPLE,AN OLAN HARIR THE SITE AT THE OP OF A A
45,A PLASTIC APPLE CLOCK ON A TABLE SURFACE,A PLASTIC ATE ON A COP IN NEAR ECTA ESILS
46,HORSES WITH JOCKEYS RACING ACROSS THE COAST OF SOME BEACH,A HORSE SMISSIN O ANO RAON O FONOF ITSELLON BESIDE WAK
47,A GROUP OF PEOPLE ON HORSES RACING TOGETHER,MAN PEOPLE ON HORSES RACE ONE TOGETHER
48,THREE PEOPLE RACE THEIR HORSES DOWN A BEACH,A ZIGRAFFE GRACING A SHIEL FRON TO TE AD TATS ON OIN TE WAT
49,THE HORSES ARE RACING EACH OTHER ALONG THE BEACH,ATHE HORSES ARE FRACING EACH OTHER ALOT OF BEACHONAAN
50,A BLACK AND WHITE PHOTO OF JOCKEYS RIDING THEIR HORSES,ADEOTS WARKING WATER WITH A TRATICAL TAG ON TODS THI RAG
51,A PASSENGER TRAIN MOVING DOWN THE TRAIN ON A BRIDGE,AFLA TRAIN HAS BEEHONEPARING A ONTI STE
52,A LARGE LONG TRAIN ON A STEEL TRACK,A LARGE BONK TRAIN IS  IMPTATIOSIG
53,A TRAIN THAT IS ON A RAIL OVER A BRIDGE,A TRAIN THAT IS ON A RAIL OVER A BRIDGE
54,A TRAIN ON TOP OF AN OVERPASS BRIDGE SET OF TRAIN TRACKS WITH FIELDS ON BOTH SIDE,TAINTOP CROSSING ONSETOF A TRAINTRACK ARIA
55,TRAIN MOVING ALONG RAISED TRACKS WITH MOUNTAIN IN BACKGROUND,A TRAIN MOVING OCLOSS RAC TRIVS IT  OTOFAN ORA
56,A TEDDY BEAR SITTING IN FRONT OF A PILE OF BOXES,ASUX OF CHAIRS AN A FILL ANT HIOPINIUM DESENTION
57,A TEDDY BEAR NEXT TO FOUR BOXES ON THE FLOOR,A PICITZINA IT RINKS TO FOUR ROXES ON THE TOP OF THE PARK
58,A TEDDY BEAR SITTING ON THE GROUND IN FRONT OF MANY BOXES,A TEDDY BEAR IN A HOSPIV ON E AMENT BOXINSED
59,A TEDDY BEAR IS SITTING IN FRONT A GROUP OF BOXES,TEDDY BEAR SITTING IN A FOR OF AQENT BOX IT FRONKE BO
60,A BIG TEDDY BEAR SITTING NEXT TO SOME BOXES,ABLATFOTIN  TOMEDO SITN ANCHES OF BOXES
61,A SEAGULL STANDS ON THE BEACH IN FRONT OF A WAVE,A FLORS OF TREE PEOPLE STAND OVERED ON ATH WITH A THREE ENGIA
62,A SEAGULL STANDING NEAR THE OCEAN ON THE SAND,A SEAGULLS ANTE BON INTO A LAT CURTAN SANDFLALL
63,A SEAGULL STANDING ON THE SAND NEAR THE WATER,A SEA FRO SANDING ALOT OF SAND NEAR A WATER
64,THE BIG BIRD IS STANDING ON THE BEACH BY THE WATER,AAT BIT ITH SANTU O
65,A SEAGULL STANDING ON THE SAND OF A BEACH,A SEAGULL STANTING ON A SANDOOF A BEACH
66,A BUS FULL OF HAPPY TOURISTS DRIVES DOWN THE STREET,A TUS COR TARKING INDIS MATCESAS NO SHAA
67,DOUBLE DECKER BUS WITH PEOPLE ON THE TOP FLOOR ON ROAD,OBE BU CAR TRACKIN AVEWING ON MOALKRAY INISMANTE
68,A DOUBLE DECKER BUS WITH PEOPLE WAVING FROM THE TOP,A DOPBUS ON TES ORECTLING ONES O
69,A DOUBLE DECKER BUS DRIVING DOWN A STREET,A DOUBLE DECKER CARS DOGGING DOWN A SPELER
70,RED DOUBLE DECKER BUS WITH PEOPLE STANDING ON TOP,AN EPE ENE VANCITY A IN STANDING ON TOP
71,A MAN LEANING HIS MOUTH DOWN TO A PLATE THAT HAS A SANDWICH ON IT AND A BLUE WATER BOTTLE BEHIND IT,A MAN LEANING AT MOUTHO CONCERTITH A SANDWICH ON A OAL ON A COUNTERO
72,A MAN TAKING A BITE OF A SANDWICH WITHOUT USING HIS HANDS,A BAN TAKIN A POT OF A SANDWICH WIT DOTAAKIN FOLLID WIT FOL
73,A MAN EATING A SANDWICH OFF OF A WHITE PLATE,A ISA SANDWICH TOP OF A WHITE PLATE
74,A SMILING GUY STICKING HIS FACE NEAR A BIG SANDWICH,A SMILIYG GUY STIT N HIS FACE NEAR A BIG SANDWISH
75,WITHOUT USING HANDS A MAN TRIES TO BITE A PAIR OF SANDWICHES,A COUPE OF RIPED INGS AND KNIFE OF O FIN TRIS EPLATITOTOF SINISTURS
76,A HUSKY STANDS BY AS A SKIER STANDS THERE,AA SOTORM IS BIDE A DIFFERENCE COLOR SIING
77,A PERSON ON SOME SKIS AND A DOG IN THE SNOW,AOUFO AN SAFETY  A SOA HIT IN THE SURF
